Biorefinery,Zone,Biomass_type,BioH2_Production,BioH2_yield_tonne_per_tonne,BioElectricity_Production,BioElectricity_yield_MWh_per_tonne,BioGasoline_Production,BioGasoline_yield_MMBtu_per_tonne,BioJetfuel_Production,BioJetfuel_yield_MMBtu_per_tonne,BioDiesel_Production,BioDiesel_yield_MMBtu_per_tonne,BioEthanol_Production,BioEthanol_yield_MMBtu_per_tonne,Inv_Cost_per_tonne_per_hr_yr,Fixed_OM_Cost_per_tonne_per_hr_yr,Var_OM_per_tonne,Power_consumption_MWh_per_tonne,H2_consumption_tonne_per_tonne,CO2_emissions_tonne_per_tonne,CO2_capture_tonne_per_tonne,Min_capacity_tonne_per_hr,Max_capacity_tonne_per_hr,Biomass_min_consumption,Biomass_max_consumption,Ref_capacity_tonne_per_hr,Ref_CAPEX_per_yr_s1,Ref_CAPEX_per_yr_s2,Ref_CAPEX_per_yr_s3,Ref_CAPEX_per_yr_s4,Ref_CAPEX_per_yr_s5,Ref_CAPEX_per_yr_s6,Ref_CAPEX_per_yr_s7,Ref_CAPEX_per_yr_s8,Ref_CAPEX_per_yr_s9,Ref_Fixed_OM_per_yr
CA_Bio_Electricity_Combustion_Plant_Herb,1,1,0,0,1,1.225843769,0,0,0,0,0,0,0,0,281308.574,183876.5654,6.129218846,0,0,0.009,0,0,100000,0.4,0.9,83.33333333,0,0,0,0,0,0,0,381850334.1,0,15323047.11
NW_Bio_Electricity_Combustion_Plant_Herb,2,1,0,0,1,1.225843769,0,0,0,0,0,0,0,0,281308.574,183876.5654,6.129218846,0,0,0.009,0,0,100000,0.4,0.9,83.33333333,0,0,0,0,0,0,0,381850334.1,0,15323047.11
SW_Bio_Electricity_Combustion_Plant_Herb,3,1,0,0,1,1.225843769,0,0,0,0,0,0,0,0,281308.574,183876.5654,6.129218846,0,0,0.009,0,0,100000,0.4,0.9,83.33333333,0,0,0,0,0,0,0,381850334.1,0,15323047.11
TX_Bio_Electricity_Combustion_Plant_Herb,4,1,0,0,1,1.225843769,0,0,0,0,0,0,0,0,281308.574,183876.5654,6.129218846,0,0,0.009,0,0,100000,0.4,0.9,83.33333333,0,0,0,0,0,0,0,381850334.1,0,15323047.11
NCEN_Bio_Electricity_Combustion_Plant_Herb,5,1,0,0,1,1.225843769,0,0,0,0,0,0,0,0,281308.574,183876.5654,6.129218846,0,0,0.009,0,0,100000,0.4,0.9,83.33333333,0,0,0,0,0,0,0,381850334.1,0,15323047.11
CEN_Bio_Electricity_Combustion_Plant_Herb,6,1,0,0,1,1.225843769,0,0,0,0,0,0,0,0,281308.574,183876.5654,6.129218846,0,0,0.009,0,0,100000,0.4,0.9,83.33333333,0,0,0,0,0,0,0,381850334.1,0,15323047.11
SE_Bio_Electricity_Combustion_Plant_Herb,7,1,0,0,1,1.225843769,0,0,0,0,0,0,0,0,281308.574,183876.5654,6.129218846,0,0,0.009,0,0,100000,0.4,0.9,83.33333333,0,0,0,0,0,0,0,381850334.1,0,15323047.11
MIDAT_Bio_Electricity_Combustion_Plant_Herb,8,1,0,0,1,1.225843769,0,0,0,0,0,0,0,0,281308.574,183876.5654,6.129218846,0,0,0.009,0,0,100000,0.4,0.9,83.33333333,0,0,0,0,0,0,0,381850334.1,0,15323047.11
NE_Bio_Electricity_Combustion_Plant_Herb,9,1,0,0,1,1.225843769,0,0,0,0,0,0,0,0,281308.574,183876.5654,6.129218846,0,0,0.009,0,0,100000,0.4,0.9,83.33333333,0,0,0,0,0,0,0,381850334.1,0,15323047.11
CA_Bio_Hydrogen_Herb,1,1,1,0.089952333,0,0,0,0,0,0,0,0,0,0,148000,216000,25.44,0,0,0.009,0,0,100000,0.85,0.9,83.33333333,12325211.72,761377.9152,1170000,676780.369,0,0,8986862.4,0,299000,18000000
