Voll,Demand_Segment,Cost_of_Demand_Curtailment_p_MWh,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_H2_MW_z1,Load_H2_MW_z2,Load_H2_MW_z3
50000000,1,0.025393600812595226,0,1,168,1,1,63.79560000000001,374.5038,140.9804
,,,,,,,2,48.043600000000005,282.3546,106.32600000000001
,,,,,,,3,68.915,405.2202,152.7944
,,,,,,,4,157.52,927.3990000000001,349.3006
,,,,,,,5,324.49120000000005,1909.93,719.4726
,,,,,,,6,528.0858000000001,3107.8696000000004,1170.3736000000001
,,,,,,,7,661.1902,3890.744,1465.3298000000002
,,,,,,,8,757.6712,4458.9974,1679.1632000000002
,,,,,,,9,797.0512,4689.3704,1765.7992000000002
,,,,,,,10,843.9134,4965.818,1870.1562000000001
,,,,,,,11,1000.6458000000001,5886.916200000001,2217.094
,,,,,,,12,1065.6228,6270.8712000000005,2361.6186000000002
,,,,,,,13,1097.1268,6455.1696,2430.9274
,,,,,,,14,1076.2554,6332.304000000001,2384.459
,,,,,,,15,1065.6228,6270.8712000000005,2361.6186000000002
,,,,,,,16,1021.5172000000001,6009.781800000001,2263.1686
,,,,,,,17,969.1418,5702.617800000001,2147.3914
,,,,,,,18,856.9088000000002,5042.2152,1898.9036
,,,,,,,19,713.5656000000001,4197.908,1580.7132000000001
,,,,,,,20,543.8378,3200.0188000000003,1205.0280000000002
,,,,,,,21,413.49,2432.1088,915.9788000000001
,,,,,,,22,288.26160000000004,1695.309,638.3498000000001
,,,,,,,23,178.39140000000003,1050.2646000000002,395.3752
,,,,,,,24,105.53840000000001,620.235,233.5234
,,,,,,,25,98.05620000000002,577.7046,217.77140000000003
,,,,,,,26,70.884,417.428,157.1262
,,,,,,,27,65.3708,385.1364,144.91840000000002
,,,,,,,28,96.87480000000001,569.8286,214.621
,,,,,,,29,174.4534,1027.4242000000002,386.71160000000003
,,,,,,,30,286.2926,1685.464,634.8056
,,,,,,,31,432.39240000000007,2544.3418,958.1154
,,,,,,,32,590.7,3475.2850000000003,1308.5973999999999
,,,,,,,33,746.251,4390.0824,1653.1724
,,,,,,,34,827.7676,4871.6998,1834.7142000000003
,,,,,,,35,853.7584,5024.1004,1892.209
,,,,,,,36,890.7756,5240.6904,1973.7256
,,,,,,,37,947.8766,5577.7832,2100.5292000000004
,,,,,,,38,990.407,5826.6648000000005,2194.2536
,,,,,,,39,1036.4816,6099.5682,2297.0354
,,,,,,,40,1062.4724,6251.9688,2354.5302
,,,,,,,41,1010.8846000000001,5947.167600000001,2239.5406000000003
,,,,,,,42,915.1912,5385.215,2028.0700000000002
,,,,,,,43,759.6402,4470.4176,1683.4950000000001
,,,,,,,44,587.9434,3459.1392000000005,1302.6904
,,,,,,,45,448.932,2640.429,994.345
,,,,,,,46,347.72540000000004,2046.5786,770.6666
,,,,,,,47,244.15600000000003,1436.5824,541.0812000000001
,,,,,,,48,155.55100000000002,914.7974,344.57500000000005
,,,,,,,49,66.5522,390.6496,147.2812
,,,,,,,50,48.8312,286.68640000000005,107.90120000000002
,,,,,,,51,68.52120000000001,403.64500000000004,152.0068
,,,,,,,52,159.489,938.0316,353.2386000000001
,,,,,,,53,342.99980000000005,2019.0126000000002,760.4278
,,,,,,,54,551.32,3243.7306000000003,1221.5676
,,,,,,,55,682.0616000000001,4012.0344,1511.0106
,,,,,,,56,781.6930000000001,4598.4026,1731.5386
,,,,,,,57,823.4358000000001,4846.102800000001,1824.8692000000003
,,,,,,,58,787.9938000000001,4637.388800000001,1746.5030000000002
,,,,,,,59,783.662,4611.398,1736.6580000000001
,,,,,,,60,812.4094,4780.732000000001,1800.4536
,,,,,,,61,863.6034000000001,5080.4138,1913.0804
,,,,,,,62,896.6826000000001,5275.738600000001,1986.7210000000002
,,,,,,,63,969.5356000000002,5705.7681999999995,2148.5728000000004
,,,,,,,64,1029.3932,6057.4316,2281.2834000000003
