Resource,BE0 0 CCGT,BE0 0 OCGT,BE0 0 biomass,BE0 0 coal,BE0 0 nuclear,BE0 0 offwind-ac,BE0 0 offwind-dc,BE0 0 onwind,BE0 0 ror,BE0 0 solar,DE0 0 CCGT,DE0 0 OCGT,DE0 0 biomass,DE0 0 coal,DE0 0 lignite,DE0 0 nuclear,DE0 0 offwind-ac,DE0 0 offwind-dc,DE0 0 oil,DE0 0 onwind,DE0 0 ror,DE0 0 solar,DK0 0 OCGT,DK0 0 biomass,DK0 0 coal,DK0 0 offwind-ac,DK0 0 offwind-dc,DK0 0 onwind,DK0 0 solar,DK0 0 nuclear,DK3 0 CCGT,DK3 0 OCGT,DK3 0 biomass,DK3 0 coal,DK3 0 offwind-ac,DK3 0 offwind-dc,DK3 0 oil,DK3 0 onwind,DK3 0 nuclear,FR0 0 CCGT,FR0 0 OCGT,FR0 0 coal,FR0 0 nuclear,FR0 0 offwind-ac,FR0 0 offwind-dc,FR0 0 oil,FR0 0 onwind,FR0 0 ror,FR0 0 solar,GB4 0 CCGT,GB4 0 coal,GB4 0 offwind-ac,GB4 0 offwind-dc,GB4 0 oil,GB4 0 onwind,GB4 0 solar,GB5 0 CCGT,GB5 0 OCGT,GB5 0 biomass,GB5 0 coal,GB5 0 nuclear,GB5 0 offwind-ac,GB5 0 offwind-dc,GB5 0 oil,GB5 0 onwind,GB5 0 ror,GB5 0 solar,NL0 0 CCGT,NL0 0 OCGT,NL0 0 coal,NL0 0 nuclear,NL0 0 offwind-ac,NL0 0 offwind-dc,NL0 0 onwind,NL0 0 solar,NO3 0 CCGT,NO3 0 OCGT,NO3 0 offwind-ac,NO3 0 offwind-dc,NO3 0 onwind,NO3 0 solar,NO3 0 coal,NO3 0 nuclear,SE3 0 CCGT,SE3 0 biomass,SE3 0 coal,SE3 0 nuclear,SE3 0 offwind-ac,SE3 0 offwind-dc,SE3 0 oil,SE3 0 onwind,SE3 0 ror,SE3 0 solar,DE0 0 hydro,FR0 0 hydro,GB5 0 hydro,NO3 0 hydro,SE3 0 hydro,DE0 0 PHS,FR0 0 PHS,GB5 0 PHS,NO3 0 PHS,SE3 0 PHS,BE0 0 Battery,DE0 0 Battery,DK0 0 Battery,DK3 0 Battery,FR0 0 Battery,GB4 0 Battery,GB5 0 Battery,NL0 0 Battery,NO0 0 Battery,SE3 0 Battery,Total
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,2,5,7,9,10,2,5,7,9,10,1,2,3,4,5,6,7,8,9,10,0
AnnualSum,0.0036269147,0.0018789006,0.010074285,0.0010364215,1.6804875e6,0.0027106882,0.0028029003,0.0028494962,7.102002e-6,0.00068722025,0.0025916444,0.0017902601,0.01609893,0.0011440935,0.0010975045,6.10042e6,0.0034655828,0.005227343,0.0015050389,0.0036815496,5.9448994e-5,0.0007239233,0.0030718169,0.009755869,0.001109368,0.004848522,0.0065955156,0.004778986,0.0007472544,0.0035597195,0.0044598747,0.0017863709,0.008410828,0.0010882284,0.0034129124,0.0074004782,0.001688245,0.006341337,0.0037161235,0.002705275,0.0019118723,0.0011238769,1.2031916e7,0.0043997285,0.004113935,0.0016991482,0.0026163221,4.235408e-6,0.00067999307,0.002766484,0.0014889219,0.0077680456,0.006412699,0.0012263822,0.01008864,0.0007682399,0.0027123399,0.0018853021,0.009607507,0.0012192994,6.0572415e6,0.0036225014,0.0058440818,0.0016353871,0.008585912,4.896648e-6,0.00076741294,0.002743797,0.0019004353,0.0012294503,347127.2,0.0048072464,0.007931323,0.0031128644,0.0007243566,0.004676735,0.0021755314,0.00091696857,0.0010802277,0.0014709155,0.00021718071,0.0010644707,0.0038188968,0.0023797369,0.004852928,0.0010962047,0.0,0.0012138933,0.00131988,0.0014576111,0.0025738247,0.0,0.00026176783,0.16017754,0.038656183,0.0,0.01727589,0.03881023,0.022895304,0.022616876,0.016187333,0.0,0.0,0.0092982575,0.009423352,0.00949037,0.009283179,0.009503547,0.012020827,0.009307525,0.00911831,0.009871996,0.009243759,2.6217194e7
t1,4.324273018278279e-6,2.238768447633769e-6,1.197652384202318e-5,1.2338707941590278e-6,1568.0318618661308,0.0,0.0,0.0,1.3538965504267253e-8,0.0,3.0828131640348332e-6,2.1299249707378003e-6,1.8974986106473002e-5,1.3617376309179963e-6,1.3062894475806225e-6,7302.599712677972,7.151401025154694e-6,8.480394045342437e-6,1.791292125489508e-6,4.406955858029326e-6,8.577353582950309e-8,0.0,3.650712687248276e-6,1.1594507863202921e-5,1.3210581010426355e-6,1.0278208523163242e-5,1.33670170576471e-5,8.975892901718072e-6,0.0,4.232434126201541e-6,5.300674637489085e-6,2.1282533780857706e-6,1.0029728980490521e-5,1.2958158310549615e-6,7.564484568930469e-6,1.3963570712018648e-5,2.0100480677170975e-6,1.5046815521613083e-5,4.420931668527498e-6,3.220062790446427e-6,2.2757986977743233e-6,1.3378634302409112e-6,16023.807847330847,3.878372980507679e-6,1.6112825124150299e-6,2.022762219813878e-6,2.683713310280246e-6,5.4305928642861545e-9,0.0,3.277345143647808e-6,1.7714925556471976e-6,3.4720212881499592e-6,6.6094060635478485e-6,1.4588841555837628e-6,5.887666667589434e-6,0.0,3.2270276875535194e-6,2.243741832929508e-6,1.1466175805722346e-5,1.4513122190753569e-6,7252.360272157868,1.4136108247190454e-6,1.507025094496117e-6,1.9465407268852083e-6,2.2171723155261063e-6,1.0316853149561211e-8,0.0,3.264189469199553e-6,2.261155863701512e-6,1.463546031258458e-6,436.499759499555,5.360145812369362e-7,3.4955293730079875e-6,5.570051471165823e-7,0.0,5.567013516416125e-6,2.5888588101303666e-6,7.813702439851131e-7,1.0059399549564868e-6,1.2294254192809157e-6,0.0,1.267083778845479e-6,4.549398207759249e-6,2.83475465333619e-6,5.779232889654842e-6,1.3056114393325489e-6,0.0,2.744022600594272e-6,2.692278336955142e-6,1.7365253767489372e-6,4.824213569936297e-6,0.0,0.0,0.00019284517339701436,4.466885037046394e-5,0.0,2.0108941219889738e-5,4.5625240602471416e-5,2.689454049080182e-5,2.6783311328969526e-5,2.1084010856976346e-5,0.0,0.0,1.2204525557753958e-5,1.2214253263798973e-5,1.2411305103730993e-5,1.2092351341393484e-5,1.238524545508212e-5,1.5380547767612358e-5,1.238768903677976e-5,1.179741892170359e-5,1.2850869439229229e-5,1.2112079323412539e-5,32583.300256595616
t2,4.324424526082946e-6,2.2383652914626066e-6,1.1967769804519496e-5,1.2338849177712133e-6,1557.0741841341055,0.0,0.0,0.0,1.3538965504267253e-8,0.0,3.0835211103625487e-6,2.1302876663195213e-6,1.8980041947027623e-5,1.3618084507034992e-6,1.306356908021424e-6,7302.599711463676,7.48332915272138e-6,9.43237729907416e-6,1.7913953129177488e-6,5.094256923031933e-6,8.577353582950309e-8,0.0,3.6516322629899044e-6,1.1595889720001758e-5,1.3210550040122673e-6,1.025926435121923e-5,1.2406397104648026e-5,8.516984307022927e-6,0.0,4.233192773374955e-6,5.302941038793025e-6,2.1281815115775267e-6,1.0028148546285615e-5,1.2958022597664445e-6,7.377047779734807e-6,1.1337841795770888e-5,2.010088372423516e-6,1.3262860468906486e-5,4.421397692163285e-6,3.2208872021724346e-6,2.2764049576738672e-6,1.3380137654140056e-6,15692.825281858943,3.598201892083716e-6,1.3065679991620511e-6,2.022997985929291e-6,2.5100787091029273e-6,5.4305928642861545e-9,0.0,3.275730302264291e-6,1.7720346052364105e-6,2.818544447147132e-6,6.111043595097037e-6,1.4590371921604238e-6,4.414892240259838e-6,0.0,3.228384346809562e-6,2.2442466139387154e-6,1.1487177843822561e-5,1.4515455781320846e-6,7252.360278753615,1.2226353872149995e-6,1.3797197591864035e-6,1.9469437934274017e-6,1.936994010064141e-6,1.0316853149561211e-8,0.0,3.263260358236619e-6,2.260811904473239e-6,1.4634142798330777e-6,436.49944705223714,8.619961523108049e-7,5.131631390172102e-6,8.804999278821013e-7,0.0,5.5676156631283446e-6,2.589219051143706e-6,7.816570927593078e-7,7.91662604492259e-7,1.3497352853959072e-6,0.0,1.267124135678836e-6,4.549611287394079e-6,2.834711211219429e-6,5.778109154176642e-6,1.3055684439170438e-6,0.0,2.8230648076106168e-6,2.7273294646968835e-6,1.7364308614620267e-6,5.1657205048247985e-6,0.0,0.0,0.00019267741380247773,4.4930024758099364e-5,0.0,2.01709423799222e-5,4.5854554514350654e-5,2.6940930552880296e-5,2.6823664531085494e-5,1.9324728389695798e-5,0.0,0.0,1.1120290955325564e-5,1.1314470581659913e-5,1.1373302055192925e-5,1.1162754705715512e-5,1.1346225816491158e-5,1.4672331703274353e-5,1.128038661703283e-5,1.0864771290705542e-5,1.182777580987035e-5,1.1119994698223808e-5,32241.359689910005
t3,4.325064351942331e-6,2.2384922307338188e-6,1.1965355907414685e-5,1.2339067087771309e-6,1557.0741793678726,0.0,0.0,0.0,1.3538965504267253e-8,0.0,3.083922254336367e-6,2.1304859230009877e-6,1.898053354123147e-5,1.361870501407804e-6,1.3064153459055064e-6,7302.5997110815915,7.005824137326736e-6,9.320164293950381e-6,1.7914849237064792e-6,6.030366494824951e-6,8.577353582950309e-8,0.0,3.652212122477132e-6,1.1598981830336737e-5,1.321053088820402e-6,1.0250102763636952e-5,1.1151836122259728e-5,8.495918670975586e-6,0.0,4.234249001610701e-6,5.303808478054111e-6,2.1282452817461484e-6,1.0028245096564815e-5,1.2958142217879848e-6,7.559279453116744e-6,9.735505954993922e-6,2.0101342450208968e-6,1.3094266173746864e-5,4.421883066296375e-6,3.221225535553226e-6,2.2766035114031285e-6,1.3380734617169477e-6,15496.997520810628,3.314702428857651e-6,1.102260876425385e-6,2.0230955728417684e-6,2.5061823855841565e-6,5.4305928642861545e-9,0.0,3.275903082393842e-6,1.772554243568996e-6,2.3362598760259104e-6,5.45125617070698e-6,1.4592489628410742e-6,3.5407005776125786e-6,0.0,3.2287593825660977e-6,2.2444406313928104e-6,1.149451622149955e-5,1.451604374973316e-6,7252.360291296035,1.1266860308567062e-6,1.3807247814992943e-6,1.9470411667159e-6,1.6645290631239275e-6,1.0316853149561211e-8,0.0,3.263774548067955e-6,2.2610901076805152e-6,1.463416505916722e-6,436.4994839047652,1.3061940209983575e-6,6.302616447017807e-6,1.094274409841791e-6,0.0,5.567381362494185e-6,2.589292735566699e-6,8.131121275023012e-7,7.654792990220198e-7,1.4699382897913267e-6,0.0,1.2671362450956635e-6,4.548584191477286e-6,2.8347807709639466e-6,5.7794048028271196e-6,1.3055690904478983e-6,0.0,2.939501134120583e-6,2.6631920495877693e-6,1.7364329366911463e-6,5.507749677299636e-6,0.0,0.0,0.00019257785858764416,4.504573649308027e-5,0.0,2.0135375853382952e-5,4.5831980914607247e-5,2.67560671865801e-5,2.6723651450829074e-5,1.926669882759072e-5,0.0,0.0,1.0995359651772149e-5,1.1091337867616032e-5,1.1151115694501035e-5,1.0948227713982406e-5,1.1089740583729492e-5,1.4509740012409187e-5,1.1051277986215554e-5,1.0793053853192386e-5,1.1614557293742388e-5,1.0910565765805565e-5,32045.531967759005
t4,4.324459938444247e-6,2.2381729480991813e-6,1.1960329843066216e-5,1.2338769598901701e-6,1557.0740190499612,0.0,0.0,1.3796472473423628e-7,1.3538965504267253e-8,0.0,3.084112307607315e-6,2.1305729874737493e-6,1.898960264872526e-5,1.3618996299216306e-6,1.3064425525782079e-6,7302.599709266478,6.6163222449917116e-6,9.09152540716161e-6,1.791527185799578e-6,6.522624240203317e-6,8.577353582950309e-8,0.0,3.652574467910549e-6,1.1604441671509234e-5,1.3210635456370606e-6,1.0258042755153272e-5,1.0229855358033429e-5,8.776109160164576e-6,0.0,4.235275217521625e-6,5.302272447141094e-6,2.128643901337222e-6,1.0030558478384824e-5,1.295854752094811e-6,7.749817751168889e-6,1.3138972631508984e-5,2.010180580702344e-6,1.5097942619992156e-5,4.422272427616858e-6,3.221474768291829e-6,2.276739532691408e-6,1.3381019123880115e-6,15254.493774431656,3.173353614845777e-6,1.0015333792682576e-6,2.0231527629461103e-6,2.5047764483389252e-6,5.4305928642861545e-9,0.0,3.2737557923241363e-6,1.7728287383044398e-6,1.6974317151538347e-6,4.204072392577418e-6,1.4592901952093845e-6,2.67552401520697e-6,0.0,3.227689986156371e-6,2.243960787203267e-6,1.1491185555142902e-5,1.451550351072478e-6,7252.360157406568,1.029107116711346e-6,1.3789012698404647e-6,1.9469392103691786e-6,1.6604079317311782e-6,1.0316853149561211e-8,0.0,3.2633375258929225e-6,2.260909474824389e-6,1.4633891378760999e-6,421.58107899831464,1.7541367353031152e-6,6.617615580308534e-6,1.5110505855958847e-6,0.0,5.566859671559694e-6,2.5893024312701463e-6,8.132811102419021e-7,9.25182605152793e-7,1.5903531243063174e-6,0.0,1.2671385472132478e-6,4.547876787749447e-6,2.8350772373087004e-6,5.782324216532133e-6,1.3055998879335141e-6,0.0,3.0185173587476184e-6,2.8606705068531256e-6,1.7364943953154833e-6,5.68271185419187e-6,0.0,0.0,0.0001922965927588229,4.509289056732415e-5,0.0,2.0050232842250996e-5,4.5844074089743296e-5,2.6594082351312364e-5,2.659507002906036e-5,1.892060378506838e-5,0.0,0.0,1.0740962860304605e-5,1.0948217593576782e-5,1.1029847766132672e-5,1.080281235976528e-5,1.0953498811201306e-5,1.4054699772846752e-5,1.0728204917533921e-5,1.0549110191768084e-5,1.1471906402288394e-5,1.0782417062936395e-5,31788.109521210175
t5,4.325062522884432e-6,2.2383323394500353e-6,1.1963085229612722e-5,1.2339079752673378e-6,1557.0740181611554,0.0,0.0,1.37966054889768e-7,1.3538965504267253e-8,0.0,3.08424700638795e-6,2.1306390816342343e-6,1.9006322817249356e-5,1.3619063214557554e-6,1.3064489377256013e-6,7302.5997137075055,7.005940016705798e-6,8.644355021775452e-6,1.7915373949118892e-6,6.775947962768152e-6,8.577353582950309e-8,0.0,3.652894949509462e-6,1.1608614993632113e-5,1.3210597581733551e-6,1.0149662902799428e-5,9.628099217992368e-6,9.328843844533628e-6,0.0,4.235697983482497e-6,5.302969271706446e-6,2.1286694284684928e-6,1.003003736637575e-5,1.29584736622874e-6,7.66232546680679e-6,1.531929626337113e-5,2.0101634935686724e-6,1.490561211833911e-5,4.422375110317084e-6,3.221688215061797e-6,2.27688333228687e-6,1.3381123897407806e-6,15608.82772387534,3.0322598086804987e-6,9.010278256166041e-7,2.023194468436766e-6,2.3368525700539184e-6,5.4305928642861545e-9,0.0,3.2722660195985216e-6,1.7731088506720937e-6,1.3838158377988268e-6,2.9644753978398986e-6,1.4594213182570088e-6,2.1128872506384268e-6,0.0,3.2281378936545695e-6,2.2441862604746495e-6,1.1492521226428129e-5,1.4515749264459898e-6,7252.3601578228745,9.33486819741146e-7,1.3797483004528534e-6,1.946985771389408e-6,1.393758130545347e-6,1.0316853149561211e-8,0.0,3.263863867200502e-6,2.2611168242981025e-6,1.463432094213698e-6,430.5045941225618,1.9828757785766004e-6,6.283670556337695e-6,1.6114432741451588e-6,0.0,5.567162757064758e-6,2.5893362550033037e-6,7.822865906985125e-7,9.794367705109054e-7,1.5920471770463432e-6,0.0,1.2671423589078222e-6,4.548061751912206e-6,2.8351140409041868e-6,5.7853024280096285e-6,1.305598942577e-6,0.0,3.0201212235673203e-6,2.9929940622593355e-6,1.7365006107686383e-6,5.681782259467465e-6,0.0,0.0,0.0001927480465489482,4.51847441117882e-5,0.0,2.0153604009454664e-5,4.581280748439636e-5,2.649670300514908e-5,2.6438902676081726e-5,1.858665684733947e-5,0.0,0.0,1.028957432569837e-5,1.0502625316514633e-5,1.0575045645344915e-5,1.0340454528170079e-5,1.0524419374353096e-5,1.3527959935368962e-5,1.0348342347676117e-5,1.0114213202977874e-5,1.1001894701955123e-5,1.0316242653498958e-5,32151.36698449028
t6,4.326612548934482e-6,2.2391504748351764e-6,1.1971999255886518e-5,1.2340101030839546e-6,1808.2038525042105,0.0,0.0,1.3800106233022483e-7,1.3538965504267253e-8,0.0,3.0833862779904463e-6,2.130170659690295e-6,1.8986134356403205e-5,1.3618381589089252e-6,1.3063856163041342e-6,7302.599727215442,6.787981678319971e-6,7.726038643253145e-6,1.7914237360618735e-6,6.749392623409259e-6,8.577353582950309e-8,0.0,3.651044561150252e-6,1.1598543775312255e-5,1.3209744528961871e-6,1.027612746726715e-5,1.0083899434772365e-5,9.424578987472536e-6,0.0,4.233325695238974e-6,5.3026647899505795e-6,2.127845102026347e-6,1.0024084351390257e-5,1.2957566941530982e-6,7.639955354793946e-6,1.531523314676746e-5,2.009936781823622e-6,1.3228905720774674e-5,4.420623848818164e-6,3.2207690194041805e-6,2.276346092277465e-6,1.338057173032719e-6,16090.936481632169,3.0302141881928245e-6,7.000521268033198e-7,2.0230359536257365e-6,2.335589897009009e-6,5.4305928642861545e-9,0.0,3.2737058918002335e-6,1.7733746337412034e-6,9.165274736682049e-7,2.029624548109178e-6,1.4595899765142322e-6,1.5606139699417982e-6,0.0,3.2280408024911277e-6,2.2440801526187832e-6,1.1488106087597888e-5,1.4515644042129422e-6,7252.360159480756,8.371607605973724e-7,1.6417977319954808e-6,1.946982230330171e-6,1.3933021867589855e-6,1.0316853149561211e-8,0.0,3.265462049588043e-6,2.2618467525496882e-6,1.463537834183957e-6,436.49977436336894,1.990828587594785e-6,6.16118149616019e-6,1.6156854461300325e-6,0.0,5.566924598928702e-6,2.589166870408059e-6,7.506503104214948e-7,9.789196107637426e-7,1.5918226933103516e-6,0.0,1.2671135740231532e-6,4.547473267807914e-6,2.8343137401854354e-6,5.784543053892349e-6,1.3055601635908718e-6,0.0,3.046585804537326e-6,2.9802976862638054e-6,1.736444558479675e-6,5.8360990336801405e-6,0.0,0.0,0.00019432511780745234,4.5237872152301016e-5,0.0,2.000156059731285e-5,4.4757367196406546e-5,2.7369340954815245e-5,2.7145146488530617e-5,2.1073415276449184e-5,0.0,0.0,1.22819862491223e-5,1.2307713798582256e-5,1.237279155384661e-5,1.2098467294097684e-5,1.2312200557666264e-5,1.5543352377240207e-5,1.20940679635941e-5,1.2046683265162156e-5,1.2846407710559221e-5,1.2122930161136527e-5,32890.60079077646
t7,4.327089584025361e-6,2.2392963608122633e-6,1.1976417061733886e-5,1.234047870819273e-6,2177.871876008005,1.4417771002929671e-7,1.9757622925067305e-7,1.3800138077440805e-7,1.3538965504267253e-8,0.0,3.083254308875456e-6,2.130093568270664e-6,1.900862540913447e-5,1.3618188300719918e-6,1.3063680630195662e-6,7302.599729103306,7.290700815913818e-6,6.279824307049426e-6,1.791392962831343e-6,7.001039401462876e-6,8.577353582950309e-8,0.0,3.6511382683763016e-6,1.1596730131931437e-5,1.3209242081256189e-6,1.0404156029836752e-5,1.0856024323800858e-5,9.231910176236272e-6,0.0,4.233020133428919e-6,5.304601270973025e-6,2.1276116940650716e-6,1.0021241860654472e-5,1.2957160739332453e-6,7.543391332823823e-6,1.5316215159030014e-5,2.0098864890913284e-6,1.2306416117701071e-5,4.420558709684981e-6,3.220812956344217e-6,2.2763961301797777e-6,1.3380490107079604e-6,15237.475839302111,3.030449652334662e-6,7.000773858098267e-7,2.0230421404513613e-6,2.337974061559789e-6,5.4305928642861545e-9,0.0,3.2736052786017785e-6,1.7735659001364918e-6,7.624709328564963e-7,1.7697870412783576e-6,1.4597767989972683e-6,1.294912290187284e-6,0.0,3.22946073298887e-6,2.2445633045419744e-6,1.1491455293464197e-5,1.4516196921544817e-6,7252.3602247242325,7.425218796481466e-7,1.9167391031927553e-6,1.947144241540414e-6,1.1232975776713893e-6,1.0316853149561211e-8,0.0,3.2659719265974455e-6,2.2620148001716555e-6,1.463572599588724e-6,436.4997713166457,2.344568489421214e-6,5.828005502492773e-6,1.7090444767006822e-6,0.0,5.567497463616099e-6,2.5892123803521325e-6,7.508771884811748e-7,1.0872474159451436e-6,1.5934430102308068e-6,0.0,1.2671169689332495e-6,4.547794609247664e-6,2.8339015437369643e-6,5.7859230727058095e-6,1.305514609558218e-6,0.0,3.0834725531051757e-6,2.978053045103276e-6,1.7363704593319913e-6,5.824899165918423e-6,0.0,0.0,0.0001943831753273475,4.520879774101319e-5,0.0,2.003849978013148e-5,4.4220132430971313e-5,2.729361714672734e-5,2.686403839242187e-5,1.9454876809931027e-5,0.0,0.0,1.1181716141377836e-5,1.1318142249524813e-5,1.1343846763186539e-5,1.1129558890610144e-5,1.1346900469342269e-5,1.4386597034007083e-5,1.116140774855817e-5,1.0967320397829675e-5,1.1820302373110124e-5,1.1115603294005923e-5,32406.80822218538
t8,4.327185373784586e-6,2.2393518974889667e-6,1.1978081935647045e-5,1.2340633284678224e-6,2389.693650777991,2.892304396879472e-7,3.9623992696542063e-7,1.3800247774611125e-7,1.3538965504267253e-8,7.745071840095111e-8,3.0831768553654405e-6,2.1300342353324394e-6,1.9027901213833983e-5,1.3618082259421777e-6,1.306358153990278e-6,7302.599731873005,6.883870978311564e-6,4.752253899726301e-6,1.7913788907362326e-6,7.013227835174023e-6,8.577353582950309e-8,2.985550789337806e-7,3.651197702621107e-6,1.1598062316557865e-5,1.3209115492124e-6,1.0400225321326427e-5,1.2104651128698876e-5,8.952857547298585e-6,9.506179657241806e-8,4.233320383821869e-6,5.305293372937502e-6,2.127665371248635e-6,1.0020634386546338e-5,1.2957159304609544e-6,7.541412214173433e-6,1.5320844486532243e-5,2.0099027819517388e-6,1.2654057952662581e-5,4.420795757042336e-6,3.220896114498207e-6,2.2764268455122044e-6,1.3380496877609393e-6,15301.10910693103,3.0304593538051716e-6,8.005788087713058e-7,2.0230527064316784e-6,2.1686230208630854e-6,5.4305928642861545e-9,6.761069230789676e-8,3.2727410342425542e-6,1.7735796321119518e-6,6.08458101431036e-7,1.769679621878427e-6,1.4598233210044643e-6,1.033881803339493e-6,0.0,3.2310320826947464e-6,2.245085395145659e-6,1.1489463095929093e-5,1.4517120072498314e-6,7252.360228670397,7.429014996294904e-7,1.9255290469995024e-6,1.9473622584917732e-6,8.407780753030022e-7,1.0316853149561211e-8,0.0,3.2663077654380787e-6,2.262131809908976e-6,1.463590783488451e-6,436.49977197605335,2.584906458486985e-6,5.326027999883877e-6,1.8037907926540982e-6,0.0,5.567428239896936e-6,2.5891904618185414e-6,7.196658395356432e-7,1.1952879053281184e-6,1.5943214850987569e-6,0.0,1.2671161367968981e-6,4.54750248201685e-6,2.8337879020000803e-6,5.786746607670353e-6,1.3054942174005197e-6,0.0,3.1217310444810305e-6,2.9779069309877025e-6,1.7363340720857614e-6,5.652398674902491e-6,0.0,1.3136130605080525e-7,0.00019454929191661512,4.52006981702839e-5,0.0,1.995587403556636e-5,4.410672738967257e-5,2.7179932786316177e-5,2.663942848952238e-5,1.9203851139214944e-5,0.0,0.0,1.0937579121091608e-5,1.109160908122507e-5,1.1160093766178265e-5,1.093727429655273e-5,1.1129124075015642e-5,1.4059080110772725e-5,1.0885218083450729e-5,1.0732958268447938e-5,1.1606446774770056e-5,1.0910471787138757e-5,32682.26326846073
t9,4.326992640526372e-6,2.2393121057054917e-6,1.1979021444842248e-5,1.2340655750849402e-6,2518.0984724873006,3.62061722590386e-7,3.9623922309906516e-7,2.7648709818019283e-7,1.3538965504267253e-8,5.486380355839698e-7,3.0831714977587783e-6,2.1300215751540985e-6,1.904070066856811e-5,1.3618092220978783e-6,1.3063589194466306e-6,7302.599729141128,6.2596179151362665e-6,4.750415205555376e-6,1.7913823274943226e-6,7.016598051346924e-6,8.577353582950309e-8,3.984642484911578e-7,3.651630460616713e-6,1.1599924747001154e-5,1.320903526193543e-6,9.988484647034586e-6,1.3034981680545158e-5,8.384552076925462e-6,1.9049356369610445e-7,4.233922427844873e-6,5.306098446217253e-6,2.1276637142731476e-6,1.002057239267126e-5,1.2957197728987923e-6,7.4479551191204e-6,1.5319885139423074e-5,2.009925031556834e-6,1.2467460127958543e-5,4.421128967584079e-6,3.221032630745058e-6,2.27643693811583e-6,1.3380422523278821e-6,15336.797063126241,2.8883148092695235e-6,9.007817882589202e-7,2.023032599504933e-6,1.9920791116767447e-6,5.4305928642861545e-9,7.333096131256197e-7,3.2716313607666093e-6,1.7734533134781173e-6,4.5506791464575464e-7,1.8988999919592026e-6,1.4597566703523015e-6,1.2956278007533214e-6,1.0323791334310577e-7,3.233521528927715e-6,2.2461298448140938e-6,1.1485325799400991e-5,1.451981655219463e-6,7252.360225941252,7.425768721945006e-7,1.7919665421096445e-6,1.9478242634432573e-6,8.417144203419737e-7,1.0316853149561211e-8,5.646553768819486e-7,3.2665400951581553e-6,2.2622387024736067e-6,1.4636045570630292e-6,436.4997723565516,2.8257112642023e-6,4.657756630555671e-6,2.0020041640861267e-6,1.6685436530817281e-7,5.567329246062842e-6,2.5891792514932276e-6,6.884761194747001e-7,1.2223057688794693e-6,1.5950379850499697e-6,6.961071990958082e-8,1.2671149610671505e-6,4.54729885359055e-6,2.8336613055606996e-6,5.7872717749968984e-6,1.305470240561411e-6,0.0,3.122556585857553e-6,2.9457589240475646e-6,1.7362850713227974e-6,5.312029719543537e-6,0.0,1.313593442066024e-7,0.00019415510792262656,4.514911667202943e-5,0.0,1.9941262714559143e-5,4.4201748431405276e-5,2.6839246581473476e-5,2.641795273265216e-5,1.9090680209359357e-5,0.0,0.0,1.0776064662591484e-5,1.0945995795095246e-5,1.1022036353157898e-5,1.0786158831297386e-5,1.0965839451413473e-5,1.38153300146077e-5,1.0615889281432463e-5,1.0582268615872253e-5,1.1480588317856729e-5,1.077080342868196e-5,32846.356039348124
