Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Subperiods,Hours_per_period,Sub_Weights,Rep_Periods,Timesteps_per_Rep_Period
20000,1,1,1,1,1336.656232,9404.225464,3420.869825,7655.558423,3124.706485,5778.646581,0,30,168,168,30,168
,,,,2,1254.499904,8740.491314,3177.116596,7229.456696,2950.788039,5457.012136,0,,,168,,
,,,,3,1196.176368,8235.571209,2975.522621,6837.894347,2790.967247,5161.449056,0,,,168,,
,,,,4,1165.896086,7944.544135,2856.213541,6556.816653,2676.24207,4949.283128,0,,,168,,
,,,,5,1149.765721,7803.385673,2798.612239,6387.400186,2607.09274,4821.402464,0,,,168,,
,,,,6,1149.724974,7758.380129,2778.043173,6298.084501,2570.63749,4753.98429,0,,,168,,
,,,,7,1161.647962,7814.754355,2795.52675,6280.543618,2563.477971,4740.743901,0,,,168,,
,,,,8,1204.573491,8030.51692,2875.754974,6375.061365,2602.056505,4812.08875,0,,,495.2601156069363,,
,,,,9,1275.117658,8392.989333,3025.918206,6588.563368,2689.199866,4973.246506,0,,,168,,
,,,,10,1370.22806,8816.118318,3197.682417,6823.956566,2785.278377,5150.928398,0,,,627.3294797687861,,
,,,,11,1478.387028,9375.760362,3464.071614,7215.218904,2944.976716,5446.265021,0,,,313.66473988439304,,
,,,,12,1517.572774,9769.238836,3622.462487,7550.900527,3081.989131,5699.647642,0,,,168,,
,,,,13,1530.550865,9954.341057,3672.861543,7747.667997,3162.302095,5848.173668,0,,,693.3641618497109,,
,,,,14,1522.139551,10033.11896,3687.264962,7851.9215,3204.854392,5926.867359,0,,,168,,
,,,,15,1494.579578,10015.47167,3666.695609,7867.26078,3211.1153,5938.44591,0,,,429.22543352601167,,
,,,,16,1455.101549,9894.683298,3616.293967,7823.715024,3193.341586,5905.57626,0,,,396.20809248554906,,
,,,,17,1430.671113,9802.972016,3578.23685,7775.79843,3173.783863,5869.407368,0,,,429.22543352601167,,
,,,,18,1436.536775,9869.751068,3598.806602,7773.231342,3172.736076,5867.469653,0,,,168,,
,,,,19,1521.938958,10276.68574,3754.117337,7951.289381,3245.412565,6001.873235,0,,,478.7514450867052,,
,,,,20,1658.155405,11167.25561,4122.328621,8459.981974,3453.041448,6385.849759,0,,,445.7341040462428,,
,,,,21,1614.307568,10990.46532,4124.380782,8704.03316,3552.653819,6570.066961,0,,,168,,
,,,,22,1525.99526,10457.71629,3935.139903,8451.766284,3449.688117,6379.648309,0,,,247.63005780346816,,
,,,,23,1482.815563,10185.58073,3836.399479,8269.575928,3375.324974,6242.125528,0,,,168,,
,,,,24,1382.608524,9759.965932,3686.232607,8003.91995,3266.894352,6041.600377,0,,,742.8901734104048,,
,,,,25,1336.337368,9425.176437,3549.438195,7729.280153,3154.796879,5834.293968,0,,,168,,
,,,,26,1220.367328,8657.219993,3256.316671,7252.833995,2960.329759,5474.658027,0,,,168,,
,,,,27,1153.541192,8078.254711,3037.233877,6805.615083,2777.792084,5137.083693,0,,,168,,
,,,,28,1121.109577,7794.435517,2945.69487,6561.923496,2678.326488,4953.137927,0,,,412.7167630057804,,
,,,,29,1106.152058,7685.726834,2915.865766,6423.261516,2621.729965,4848.471679,0,,,168,,
,,,,30,1105.349043,7710.710724,2925.121626,6376.608773,2602.688097,4813.25678,0,,,168,,
,,,,31,1142.101579,7948.838492,3019.754071,6459.780398,2636.635578,4876.037234,0,,,,,
,,,,32,1260.373291,8674.173255,3318.023048,6854.185069,2797.616497,5173.745784,0,,,,,
,,,,33,1459.182684,9991.220565,3851.825641,7694.500162,3140.601016,5808.040982,0,,,,,
,,,,34,1542.143251,10684.64119,4118.208929,8363.695186,3413.740859,6313.169585,0,,,,,
,,,,35,1564.351399,10798.38021,4132.617309,8576.681583,3500.67377,6473.938147,0,,,,,
,,,,36,1565.324678,10745.7217,4090.440709,8674.894102,3540.760368,6548.07192,0,,,,,
,,,,37,1546.489796,10758.23912,4061.647217,8710.396129,3555.250939,6574.869922,0,,,,,
,,,,38,1529.325144,10702.51324,3997.872433,8664.792659,3536.637345,6540.447046,0,,,,,
,,,,39,1502.43655,10540.70791,3902.217731,8545.958034,3488.133591,6450.747085,0,,,,,
,,,,40,1472.683675,10407.29166,3839.479461,8474.367866,3458.913219,6396.708665,0,,,,,
,,,,41,1447.87703,10227.03337,3765.429881,8374.670085,3418.220394,6321.453771,0,,,,,
,,,,42,1431.945451,10159.6697,3733.544322,8314.926748,3393.835446,6276.357696,0,,,,,
,,,,43,1486.612055,10477.94664,3835.371868,8424.677719,3438.6316,6359.201042,0,,,,,
,,,,44,1629.456248,11461.08796,4220.038542,8921.366009,3641.360785,6734.116356,0,,,,,
,,,,45,1646.145218,11719.52693,4379.460291,9320.769168,3804.381896,7035.597916,0,,,,,
,,,,46,1578.013006,11443.12674,4282.779324,9188.168066,3750.259192,6935.506602,0,,,,,
,,,,47,1492.069174,10951.76103,4103.814506,8919.847973,3640.741181,6732.970496,0,,,,,
,,,,48,1372.500538,10167.19351,3806.568061,8455.329635,3451.142541,6382.338034,0,,,,,
,,,,49,1278.668428,9199.186306,3436.304795,7804.218045,3185.383664,5890.859351,0,,,,,
,,,,50,1170.875753,8350.274101,3091.747533,7135.286014,2912.351164,5385.929262,0,,,,,
,,,,51,1105.342752,7809.508587,2875.753563,6663.923869,2719.959144,5030.130887,0,,,,,
