CO2_Storage,Zone,MWh_per_tonne,Var_OM_Cost_per_tonne,Max_capacity_tonne_per_yr,Max_injection_rate_tonne_per_hr,CO2_Injection_Min_Output,CO2_Injection_Max_Output
SE_WashitaFredericksburg1,7,0,6.1,4753600,19634.7,0,1
SE_Lower_Tuscaloosa02,7,0,6.4,5145400,21367.2,0,1
SE_WashitaFredericksburg2,7,0,6.6,3040100,12704.8,0,1
SE_Cedar_KeysLawson2,7,0,7.4,3525200,14437.3,0,1
SE_Paluxy5,7,0,7.6,2154100,8662.4,0,1
SE_Lower_Tuscaloosa03,7,0,7.8,13171700,55439.2,0,1
SE_Paluxy4,7,0,8,3572700,15014.8,0,1
SE_Lower_Tuscaloosa04,7,0,9.1,1774500,6929.9,0,1
SE_Cedar_KeysLawson1,7,0,9.4,775500,2887.5,0,1
SE_Lower_Tuscaloosa05,7,0,9.8,2289900,9239.9,0,1
SE_Sunniland1,7,0,18.9,224800,577.5,0,1
MIDAT_Waste_Gate1,8,0,7.9,336600,1155,0,1
