Biorefinery,Zone,Biomass_type,Biomass_carbon_tonne_CO2_per_tonne,Biomass_energy_MMBtu_per_tonne,Biorefinery_efficiency,BioElectricity_fraction,BioGasoline_fraction,BioJetfuel_fraction,BioDiesel_fraction,Inv_Cost_per_tonne_per_hr_yr,Fixed_OM_Cost_per_tonne_per_hr_yr,Var_OM_per_tonne,Power_consumption_MWh_per_tonne,NG_consumption_MMBtu_per_tonne,CCS_Rate,Min_capacity_tonne_per_hr,Max_capacity_tonne_per_hr,Biomass_min_consumption,Biomass_max_consumption
NW_Gasoline_Gasification_Non_CCS_Herb,2,1,1.709,18.1,0.379,0,1,0,0,356053.6,283503.36,22.04,0,0,0,0,-1,0.85,0.9
SW_Gasoline_Gasification_Non_CCS_Herb,3,1,1.709,18.1,0.379,0,1,0,0,356053.6,283503.36,22.04,0,0,0,0,-1,0.85,0.9
TX_Gasoline_Gasification_Non_CCS_Herb,4,1,1.711,18.12,0.379,0,1,0,0,356053.6,283503.36,22.04,0,0,0,0,-1,0.85,0.9
NCEN_Gasoline_Gasification_Non_CCS_Herb,5,1,1.743,18.35,0.379,0,1,0,0,356053.6,283503.36,22.04,0,0,0,0,-1,0.85,0.9
CEN_Gasoline_Gasification_Non_CCS_Herb,6,1,1.723,18.2,0.379,0,1,0,0,356053.6,283503.36,22.04,0,0,0,0,-1,0.85,0.9
SE_Gasoline_Gasification_Non_CCS_Herb,7,1,1.715,18.16,0.379,0,1,0,0,356053.6,283503.36,22.04,0,0,0,0,-1,0.85,0.9
MIDAT_Gasoline_Gasification_Non_CCS_Herb,8,1,1.716,18.16,0.379,0,1,0,0,356053.6,283503.36,22.04,0,0,0,0,-1,0.85,0.9
NE_Gasoline_Gasification_Non_CCS_Herb,9,1,1.745,18.35,0.379,0,1,0,0,356053.6,283503.36,22.04,0,0,0,0,-1,0.85,0.9
NW_Gasoline_Gasification_CCS_31_Herb,2,1,1.709,18.1,0.379,0,1,0,0,434628.32,354088,23.59,0.1041,0,0.3103,0,-1,0.85,0.9
SW_Gasoline_Gasification_CCS_31_Herb,3,1,1.709,18.1,0.379,0,1,0,0,434628.32,354088,23.59,0.1041,0,0.3103,0,-1,0.85,0.9
TX_Gasoline_Gasification_CCS_31_Herb,4,1,1.711,18.12,0.379,0,1,0,0,434628.32,354088,23.59,0.1041,0,0.3103,0,-1,0.85,0.9
NCEN_Gasoline_Gasification_CCS_31_Herb,5,1,1.743,18.35,0.379,0,1,0,0,434628.32,354088,23.59,0.1041,0,0.3103,0,-1,0.85,0.9
CEN_Gasoline_Gasification_CCS_31_Herb,6,1,1.723,18.2,0.379,0,1,0,0,434628.32,354088,23.59,0.1041,0,0.3103,0,-1,0.85,0.9
SE_Gasoline_Gasification_CCS_31_Herb,7,1,1.715,18.16,0.379,0,1,0,0,434628.32,354088,23.59,0.1041,0,0.3103,0,-1,0.85,0.9
MIDAT_Gasoline_Gasification_CCS_31_Herb,8,1,1.716,18.16,0.379,0,1,0,0,434628.32,354088,23.59,0.1041,0,0.3103,0,-1,0.85,0.9
NE_Gasoline_Gasification_CCS_31_Herb,9,1,1.745,18.35,0.379,0,1,0,0,434628.32,354088,23.59,0.1041,0,0.3103,0,-1,0.85,0.9
NW_Gasoline_Gasification_CCS_99_Herb,2,1,1.709,18.1,0.379,0,1,0,0,590486.4,434613.76,28.74,1.1596,0,0.9931,0,-1,0.85,0.9
SW_Gasoline_Gasification_CCS_99_Herb,3,1,1.709,18.1,0.379,0,1,0,0,590486.4,434613.76,28.74,1.1596,0,0.9931,0,-1,0.85,0.9
TX_Gasoline_Gasification_CCS_99_Herb,4,1,1.711,18.12,0.379,0,1,0,0,590486.4,434613.76,28.74,1.1596,0,0.9931,0,-1,0.85,0.9
NCEN_Gasoline_Gasification_CCS_99_Herb,5,1,1.743,18.35,0.379,0,1,0,0,590486.4,434613.76,28.74,1.1596,0,0.9931,0,-1,0.85,0.9
CEN_Gasoline_Gasification_CCS_99_Herb,6,1,1.723,18.2,0.379,0,1,0,0,590486.4,434613.76,28.74,1.1596,0,0.9931,0,-1,0.85,0.9
SE_Gasoline_Gasification_CCS_99_Herb,7,1,1.715,18.16,0.379,0,1,0,0,590486.4,434613.76,28.74,1.1596,0,0.9931,0,-1,0.85,0.9
MIDAT_Gasoline_Gasification_CCS_99_Herb,8,1,1.716,18.16,0.379,0,1,0,0,590486.4,434613.76,28.74,1.1596,0,0.9931,0,-1,0.85,0.9
NE_Gasoline_Gasification_CCS_99_Herb,9,1,1.745,18.35,0.379,0,1,0,0,590486.4,434613.76,28.74,1.1596,0,0.9931,0,-1,0.85,0.9
NW_FT_High_Diesel_Non_CCS_Herb,2,1,1.709,18.1,0.504,0,0.2455,0.2531,0.5014,492864.96,547339.52,0.00,2.8679,0,0,0,-1,0.85,0.9
SW_FT_High_Diesel_Non_CCS_Herb,3,1,1.709,18.1,0.504,0,0.2455,0.2531,0.5014,492864.96,547339.52,0.00,2.8679,0,0,0,-1,0.85,0.9
