Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_Tonne,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_H2_tonne_per_hr_z1,Load_H2_tonne_per_hr_z2,Load_H2_tonne_per_hr_z3,Load_H2_tonne_per_hr_z4,Load_H2_tonne_per_hr_z5,Load_H2_tonne_per_hr_z6,Load_H2_tonne_per_hr_z7,Load_H2_tonne_per_hr_z8,Load_H2_tonne_per_hr_z9
50000000,1,1,0,1,168,1,1,203,261,275,522,1874,1511,811,773,406
,,,,,,,2,203,261,275,522,1874,1511,811,773,406
,,,,,,,3,203,261,275,522,1874,1511,811,773,406
,,,,,,,4,203,261,275,522,1874,1511,811,773,406
,,,,,,,5,203,261,275,522,1874,1511,811,773,406
,,,,,,,6,203,261,275,522,1874,1511,811,773,406
,,,,,,,7,203,261,275,522,1874,1511,811,773,406
,,,,,,,8,203,261,275,522,1874,1511,811,773,406
,,,,,,,9,203,261,275,522,1874,1511,811,773,406
,,,,,,,10,203,261,275,522,1874,1511,811,773,406
,,,,,,,11,203,261,275,522,1874,1511,811,773,406
,,,,,,,12,203,261,275,522,1874,1511,811,773,406
,,,,,,,13,203,261,275,522,1874,1511,811,773,406
,,,,,,,14,203,261,275,522,1874,1511,811,773,406
,,,,,,,15,203,261,275,522,1874,1511,811,773,406
,,,,,,,16,203,261,275,522,1874,1511,811,773,406
,,,,,,,17,203,261,275,522,1874,1511,811,773,406
,,,,,,,18,203,261,275,522,1874,1511,811,773,406
,,,,,,,19,203,261,275,522,1874,1511,811,773,406
,,,,,,,20,203,261,275,522,1874,1511,811,773,406
,,,,,,,21,203,261,275,522,1874,1511,811,773,406
,,,,,,,22,203,261,275,522,1874,1511,811,773,406
,,,,,,,23,203,261,275,522,1874,1511,811,773,406
,,,,,,,24,203,261,275,522,1874,1511,811,773,406
,,,,,,,25,203,261,275,522,1874,1511,811,773,406
,,,,,,,26,203,261,275,522,1874,1511,811,773,406
,,,,,,,27,203,261,275,522,1874,1511,811,773,406
,,,,,,,28,203,261,275,522,1874,1511,811,773,406
,,,,,,,29,203,261,275,522,1874,1511,811,773,406
,,,,,,,30,203,261,275,522,1874,1511,811,773,406
,,,,,,,31,203,261,275,522,1874,1511,811,773,406
,,,,,,,32,203,261,275,522,1874,1511,811,773,406
,,,,,,,33,203,261,275,522,1874,1511,811,773,406
,,,,,,,34,203,261,275,522,1874,1511,811,773,406
,,,,,,,35,203,261,275,522,1874,1511,811,773,406
,,,,,,,36,203,261,275,522,1874,1511,811,773,406
