Resource,BE0 0 CCGT,BE0 0 OCGT,BE0 0 biomass,BE0 0 coal,BE0 0 nuclear,BE0 0 offwind-ac,BE0 0 offwind-dc,BE0 0 onwind,BE0 0 ror,BE0 0 solar,DE0 0 CCGT,DE0 0 OCGT,DE0 0 biomass,DE0 0 coal,DE0 0 lignite,DE0 0 nuclear,DE0 0 offwind-ac,DE0 0 offwind-dc,DE0 0 oil,DE0 0 onwind,DE0 0 ror,DE0 0 solar,DK0 0 OCGT,DK0 0 biomass,DK0 0 coal,DK0 0 offwind-ac,DK0 0 offwind-dc,DK0 0 onwind,DK0 0 solar,DK0 0 nuclear,DK0 0 CCGT,DK3 0 CCGT,DK3 0 OCGT,DK3 0 biomass,DK3 0 coal,DK3 0 offwind-ac,DK3 0 offwind-dc,DK3 0 oil,DK3 0 onwind,DK3 0 nuclear,FR0 0 CCGT,FR0 0 OCGT,FR0 0 coal,FR0 0 nuclear,FR0 0 offwind-ac,FR0 0 offwind-dc,FR0 0 oil,FR0 0 onwind,FR0 0 ror,FR0 0 solar,GB4 0 CCGT,GB4 0 coal,GB4 0 offwind-ac,GB4 0 offwind-dc,GB4 0 oil,GB4 0 onwind,GB4 0 solar,GB5 0 CCGT,GB5 0 OCGT,GB5 0 biomass,GB5 0 coal,GB5 0 nuclear,GB5 0 offwind-ac,GB5 0 offwind-dc,GB5 0 oil,GB5 0 onwind,GB5 0 ror,GB5 0 solar,NL0 0 CCGT,NL0 0 OCGT,NL0 0 coal,NL0 0 nuclear,NL0 0 offwind-ac,NL0 0 offwind-dc,NL0 0 onwind,NL0 0 solar,NO3 0 CCGT,NO3 0 OCGT,NO3 0 offwind-ac,NO3 0 offwind-dc,NO3 0 onwind,NO3 0 solar,NO3 0 coal,NO3 0 nuclear,SE3 0 CCGT,SE3 0 biomass,SE3 0 coal,SE3 0 nuclear,SE3 0 offwind-ac,SE3 0 offwind-dc,SE3 0 oil,SE3 0 onwind,SE3 0 ror,SE3 0 solar,DE0 0 hydro,FR0 0 hydro,GB5 0 hydro,NO3 0 hydro,SE3 0 hydro,DE0 0 PHS,FR0 0 PHS,GB5 0 PHS,NO3 0 PHS,SE3 0 PHS,BE0 0 Battery,DE0 0 Battery,DK0 0 Battery,DK3 0 Battery,FR0 0 Battery,GB4 0 Battery,GB5 0 Battery,NL0 0 Battery,NO0 0 Battery,SE3 0 Battery,BE0 0 CCGT_CCS,DE0 0 CCGT_CCS,DK0 0 CCGT_CCS,DK3 0 CCGT_CCS,FR0 0 CCGT_CCS,GB4 0 CCGT_CCS,GB5 0 CCGT_CCS,NL0 0 CCGT_CCS,NO3 0 CCGT_CCS,SE3 0 CCGT_CCS,Total
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,2,5,7,9,10,2,5,7,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,0
AnnualSum,1.746224729868306e-8,6.751362620952621e-8,512.1230780720808,9.68085523004459e-11,3.843088669977896e-9,0.0,0.0,0.0,0.0,0.0,501.2033015142651,7.305241084734736e-8,6211.970710356698,1.0062921856783265e-10,1.0013182954099422e-10,8.528136927294665e-10,0.0,0.0,1.0169574414740308e-9,0.0,0.0,0.0,3.9505365433757e-8,170.69531620826294,9.972064415874085e-11,0.0,0.0,0.0,0.0,0.05515108157283537,1.146753018713287e-8,1.3601670564780374e-8,3.9766683631815894e-8,808.8741008778534,9.97594708518816e-11,0.0,0.0,9.072441342116192e-10,0.0,0.0,1.764773364889571e-8,7.437727142721432e-8,9.993633961832021e-11,1.1927336660139943e-8,0.0,0.0,9.54925407046187e-10,0.0,0.0,0.0,4.660087259295243e-8,1.000073922555333e-10,0.0,0.0,9.204311630637179e-10,0.0,0.0,1928.3897709172638,7.053306316389527e-8,930.6457221028274,1.0022250789406836e-10,790.7564560434876,0.0,0.0,9.481253411679735e-10,0.0,0.0,0.0,2.1898017317909293e-8,7.31870895832667e-8,1.004042153927697e-10,3.2606057943462903e-9,0.0,0.0,0.0,0.0,1.2842987794518753e-8,4.45502254588301e-8,0.0,0.0,0.0,0.0,9.62418905510343e-11,1.459248029176135e-9,1.128155983402975e-8,2.1989563479504256e-8,9.619287808251162e-11,1.4538799241350993e-9,0.0,0.0,8.811824438857693e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.113691107095281,1075.1713399617925,2.2146719301025093e-8,140.15518545488496,4880.028969984009,1.413426048020192e-8,1138.4191650155542,479.01010659477805,1.815463895784219e-8,1.742905903733708e-8,19579.612066051082
t1,1.6129284977272163e-12,6.293386406484982e-12,4.540645285782494e-13,1.3946667280834013e-14,5.774004621228297e-14,0.0,0.0,0.0,0.0,0.0,1.4209786901941338e-12,5.9303726958765275e-12,4.671354103923094e-13,1.4644319427410944e-14,1.456796431152687e-14,5.790736889551156e-14,0.0,0.0,1.4143672259617816e-13,0.0,0.0,0.0,5.6796970713277345e-12,5.011478676524806e-13,1.477534475464712e-14,0.0,0.0,0.0,0.0,6.546683828675007e-14,1.400397807919282e-12,1.5787536443941087e-12,5.736733395603748e-12,5.290454743975703e-13,1.4796915028214034e-14,0.0,0.0,1.4979478543935468e-13,0.0,0.0,1.5920879403814812e-12,6.378003491789842e-12,1.461011495641692e-14,7.469469793752592e-14,0.0,0.0,1.3833553704124893e-13,0.0,0.0,0.0,1.88309393473283e-12,1.455523073319833e-14,0.0,0.0,1.2289334260409018e-13,0.0,0.0,1.4579015331257481e-12,4.976593129941212e-12,4.710900051451574e-13,1.4157719105145319e-14,6.301341537806411e-14,0.0,0.0,1.0472848315561574e-13,0.0,0.0,0.0,1.4767264139916234e-12,5.933170461726629e-12,1.459012784510424e-14,5.774807788346563e-14,0.0,0.0,0.0,0.0,2.33228640787552e-12,6.904674984128819e-12,0.0,0.0,0.0,0.0,1.4251257331759695e-14,6.156777224908848e-14,1.7303621153254922e-12,5.616645896670932e-13,1.4229149821020674e-14,7.42391905503171e-14,0.0,0.0,1.4537732710920424e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.000792619465525e-13,5.623224879972761e-13,6.016799978124266e-13,6.075331669281128e-13,6.895322498091688e-13,1.7155048247172291e-12,7.361692016495067e-13,6.365644790676836e-13,6.584781369634804e-13,5.021806616645369e-13,7.608640938286973e-11
t2,1.7591353571658506e-12,6.415385430883104e-12,4.687775798300634e-13,1.4005880088448054e-14,5.796558940410109e-14,0.0,0.0,0.0,0.0,0.0,1.5367975355267633e-12,5.9703249582004165e-12,4.762904198562897e-13,1.4692650110065693e-14,1.4614710830091214e-14,5.781166739724253e-14,0.0,0.0,1.4341726231433957e-13,0.0,0.0,0.0,5.844054676934026e-12,5.044363816434317e-13,1.4795816417215753e-14,0.0,0.0,0.0,0.0,6.606491872018029e-14,1.5901160446313418e-12,1.850053793416727e-12,5.95308491396484e-12,5.334064655518896e-13,1.481938636561573e-14,0.0,0.0,1.5123513686414904e-13,0.0,0.0,1.7072953660064406e-12,6.508131862562328e-12,1.46722087428283e-14,7.503537783546633e-14,0.0,0.0,1.4245585279812034e-13,0.0,0.0,0.0,1.8736974527527074e-12,1.4728582693211275e-14,0.0,0.0,1.2994389193055114e-13,0.0,0.0,1.626679183172359e-12,5.464982806737994e-12,5.203867678243463e-13,1.4358161839436928e-14,6.644457665073912e-14,0.0,0.0,1.1322619800472926e-13,0.0,0.0,0.0,1.6530056324239064e-12,6.233530954057464e-12,1.4657711684500375e-14,5.815419439162164e-14,0.0,0.0,0.0,0.0,2.3100834348701886e-12,6.863545317641301e-12,0.0,0.0,0.0,0.0,1.425196539902294e-14,6.151937973659692e-14,1.7647932992034134e-12,5.613039175065894e-13,1.4229754126860152e-14,7.436155773754869e-14,0.0,0.0,1.454908287091221e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.374215563784489e-13,6.004595384689618e-13,6.199660135887993e-13,6.280599681696393e-13,7.420522616739854e-13,1.913385338832887e-12,1.1727581869247947e-12,6.870612111476156e-13,6.495138103297484e-13,5.012645096234367e-13,7.96441952082939e-11
t3,1.9467346439487703e-12,6.504237018379029e-12,4.815690713403418e-13,1.406817227978384e-14,5.818810061472089e-14,0.0,0.0,0.0,0.0,0.0,1.6027795888592015e-12,6.033277668631354e-12,4.858184740312477e-13,1.4751238733338358e-14,1.467163068793925e-14,5.777138115871341e-14,0.0,0.0,1.4724610509518223e-13,0.0,0.0,0.0,5.96935808727716e-12,5.101284032752027e-13,1.481951459549814e-14,0.0,0.0,0.0,0.0,6.667876617147737e-14,1.7517519777442507e-12,1.9584367463720864e-12,5.971254529570341e-12,5.389188475145167e-13,1.483649386079459e-14,0.0,0.0,1.5259170878191245e-13,0.0,0.0,1.8409745823226485e-12,6.62836820581261e-12,1.4737282055786245e-14,7.56357043084242e-14,0.0,0.0,1.4665473938601385e-13,0.0,0.0,0.0,1.9598815377720984e-12,1.4906591652836033e-14,0.0,0.0,1.3775049398434748e-13,0.0,0.0,1.8325155446984506e-12,5.901370052214702e-12,5.794656901582196e-13,1.4566739661303796e-14,7.017261688615207e-14,0.0,0.0,1.2348718081968047e-13,0.0,0.0,0.0,1.7991468969752504e-12,6.450480234804595e-12,1.4729707448661364e-14,5.851932984985534e-14,0.0,0.0,0.0,0.0,2.3131600982769822e-12,6.87374518629852e-12,0.0,0.0,0.0,0.0,1.425366404270561e-14,6.150441124570435e-14,1.7913300543557825e-12,5.631383082827826e-13,1.4231367341320338e-14,7.455702639868483e-14,0.0,0.0,1.4623597507404843e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.485909884453659e-13,6.335570561190983e-13,6.371434368417419e-13,6.411364320435822e-13,7.566083073844344e-13,1.7967750242337944e-12,2.2631126363614496e-12,7.133349848790807e-13,6.350580315828595e-13,5.011423397738215e-13,8.305186662871625e-11
t4,2.142129445352967e-12,6.508214882105129e-12,4.912631964658191e-13,1.413065516677738e-14,5.827325272113435e-14,0.0,0.0,0.0,0.0,0.0,1.502802235847738e-12,5.9340715457981895e-12,4.915714704656727e-13,1.4811259960886953e-14,1.472977629382751e-14,5.745006103526777e-14,0.0,0.0,1.5148126998371356e-13,0.0,0.0,0.0,6.006568349529984e-12,5.154147498427503e-13,1.4840894146158312e-14,0.0,0.0,0.0,0.0,6.70736187095042e-14,1.8275497179077236e-12,1.9557124672121197e-12,5.87765362439613e-12,5.405534458959567e-13,1.4851347980643832e-14,0.0,0.0,1.5370126632457512e-13,0.0,0.0,1.9420696685100853e-12,6.663993939236721e-12,1.4803225543970284e-14,7.594819411938139e-14,0.0,0.0,1.5092782488465523e-13,0.0,0.0,0.0,2.0374039897832e-12,1.5084666662672736e-14,0.0,0.0,1.461424240485904e-13,0.0,0.0,2.000758674753378e-12,6.156384487290391e-12,6.449659160353279e-13,1.4777146342114347e-14,7.390674324777217e-14,0.0,0.0,1.3482790006864745e-13,0.0,0.0,0.0,1.8988679070501314e-12,6.563374372013642e-12,1.480270976271345e-14,5.868768664119466e-14,0.0,0.0,0.0,0.0,2.3248222692058743e-12,6.905503634786233e-12,0.0,0.0,0.0,0.0,1.425559735048061e-14,6.149356156125562e-14,1.8115700488907253e-12,5.641212819483405e-13,1.4233182373928978e-14,7.470252478459875e-14,0.0,0.0,1.46983022548245e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.583430173870562e-13,6.6433242777835e-13,6.544998183429283e-13,6.315495464208688e-13,7.653596748377761e-13,1.966308017517417e-12,2.7227186840413115e-12,7.381108141469167e-13,6.262300323727531e-13,5.065803342184868e-13,8.48142934996508e-11
t5,2.5011231591244354e-12,6.672629526042671e-12,5.017791573043411e-13,1.4200264661317792e-14,5.856936273743751e-14,0.0,0.0,0.0,0.0,0.0,1.8671897759314527e-12,6.374484935486912e-12,5.033418855706183e-13,1.490077276184792e-14,1.48168669390435e-14,5.801105173963847e-14,0.0,0.0,1.5930611473480372e-13,0.0,0.0,0.0,6.018070239538847e-12,5.211819472626494e-13,1.4862188062430105e-14,0.0,0.0,0.0,0.0,6.739172655540697e-14,1.8770055394505874e-12,2.280383101840907e-12,5.9610695053651685e-12,5.46767054086047e-13,1.4876245594308718e-14,0.0,0.0,1.560004701118691e-13,0.0,0.0,2.3014653083102446e-12,6.884098905264359e-12,1.487711503750352e-14,7.650962501626731e-14,0.0,0.0,1.5630779654601353e-13,0.0,0.0,0.0,2.2038653838692803e-12,1.5267867347873617e-14,0.0,0.0,1.561063014515709e-13,0.0,0.0,2.2321322579133257e-12,6.461859985741018e-12,7.209711271584517e-13,1.4993621326045996e-14,7.803291857378468e-14,0.0,0.0,1.4813315780150376e-13,0.0,0.0,0.0,2.235012549935527e-12,6.840661310422672e-12,1.4883894833204375e-14,5.896322260972914e-14,0.0,0.0,0.0,0.0,2.3423645401587462e-12,6.9255091405999595e-12,0.0,0.0,0.0,0.0,1.4257537853079647e-14,6.147758774005428e-14,1.806567167252135e-12,5.651017506945329e-13,1.4234743091319098e-14,7.470844510405597e-14,0.0,0.0,1.4741811365616824e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.684228236062169e-13,7.458341317585925e-13,6.520903696903978e-13,6.558745662971522e-13,7.689229552552679e-13,2.1545030956364873e-12,3.121806258118149e-12,7.637701576804041e-13,6.258518686822086e-13,5.073534650500537e-13,8.94281719579861e-11
t6,3.0188017281393772e-12,6.836905079136134e-12,5.113943066148813e-13,1.4272034536148414e-14,5.896560215756225e-14,0.0,0.0,0.0,0.0,0.0,2.2189721118940678e-12,6.746575054770178e-12,5.149070604187018e-13,1.4993143226193492e-14,1.490667226796847e-14,5.86048080927644e-14,0.0,0.0,1.6752411642580893e-13,0.0,0.0,0.0,6.055099354845358e-12,5.292376083809381e-13,1.4884016991581514e-14,0.0,0.0,0.0,0.0,6.775016807803344e-14,1.941541258665293e-12,2.724826248585317e-12,6.031168267392901e-12,5.543935358742403e-13,1.4902415281658077e-14,0.0,0.0,1.5827927165024726e-13,0.0,0.0,2.8207731568980535e-12,7.126099460536433e-12,1.4954082371191076e-14,7.706965021722072e-14,0.0,0.0,1.622316494536929e-13,0.0,0.0,0.0,2.603391879164943e-12,1.5457141854879688e-14,0.0,0.0,1.687099007204868e-13,0.0,0.0,2.7255528321850756e-12,7.073377354660331e-12,8.141580019086458e-13,1.5217059968202282e-14,8.288051817163536e-14,0.0,0.0,1.6457012854436085e-13,0.0,0.0,0.0,2.729733243001769e-12,7.1277143693439856e-12,1.496788549026385e-14,5.936162085244167e-14,0.0,0.0,0.0,0.0,2.3208023596036894e-12,6.9062412991881685e-12,0.0,0.0,0.0,0.0,1.4259080545235448e-14,6.147781209431742e-14,1.8094339135308659e-12,5.674231737057198e-13,1.4236343618019883e-14,7.474754375163831e-14,0.0,0.0,1.4769288848332933e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.620236825840026e-13,7.952188327087948e-13,6.625913042739917e-13,6.582687789592102e-13,7.633419245696596e-13,2.4338884901219394e-12,3.6297111464170257e-12,7.612030244678249e-13,6.274952767112132e-13,5.070626905312643e-13,9.548224336463489e-11
t7,3.858181923375505e-12,7.058415007612949e-12,5.213054247547433e-13,1.434433056116429e-14,5.941761125741e-14,0.0,0.0,0.0,0.0,0.0,2.7301422189270104e-12,7.16858964170134e-12,5.268045997289972e-13,1.508699809470953e-14,1.4997847342060317e-14,5.91302017441477e-14,0.0,0.0,1.768613230957538e-13,0.0,0.0,0.0,6.077082274730764e-12,5.368349119563476e-13,1.4906222743834026e-14,0.0,0.0,0.0,0.0,6.812757485295205e-14,1.994874275943864e-12,3.4086522445983774e-12,6.122477203376062e-12,5.636852824124206e-13,1.492865407975158e-14,0.0,0.0,1.6057862818003495e-13,0.0,0.0,3.692201437294674e-12,7.428936037718963e-12,1.5031997783471846e-14,7.786401841594349e-14,0.0,0.0,1.6878971061652243e-13,0.0,0.0,0.0,3.8880541633581245e-12,1.5652991984338154e-14,0.0,0.0,1.8579979425714548e-13,0.0,0.0,4.35053193621004e-12,8.762444814064941e-12,9.38266930717803e-13,1.5447752453053844e-14,8.896782503604089e-14,0.0,0.0,1.858920194500854e-13,0.0,0.0,0.0,3.5625799144673815e-12,7.485884345433726e-12,1.505294873065311e-14,5.981174649951186e-14,0.0,0.0,0.0,0.0,2.3065370949468275e-12,6.889069922838934e-12,0.0,0.0,0.0,0.0,1.4260437955987595e-14,6.147159087791726e-14,1.8098691929430106e-12,5.710490705992213e-13,1.423781649810057e-14,7.469251972375268e-14,0.0,0.0,1.477848293514781e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.665075758639777e-13,8.354408874544913e-13,6.578551489996899e-13,6.612465192914009e-13,7.608883897553806e-13,2.5767637973552097e-12,3.670083965296556e-12,7.710924317387849e-13,6.192204446350283e-13,5.063468687842617e-13,1.0571705329047264e-10
t8,5.443215190668527e-12,7.386669495230825e-12,5.252165821590543e-13,1.441744417840742e-14,5.994274443103925e-14,0.0,0.0,0.0,0.0,0.0,3.5979764588421516e-12,7.715980527345088e-12,5.327943509961801e-13,1.5182221039093973e-14,1.5090338413670427e-14,5.964098090875304e-14,0.0,0.0,1.8728805352821694e-13,0.0,0.0,0.0,6.182231329478502e-12,5.391799146990464e-13,1.4928987635895666e-14,0.0,0.0,0.0,0.0,6.857356786884288e-14,2.1392204743243014e-12,4.712204312433219e-12,6.312677165975764e-12,5.678560468102315e-13,1.4955085671279062e-14,0.0,0.0,1.6299842468386094e-13,0.0,0.0,5.49735843634335e-12,7.845453890429865e-12,1.5111203615364463e-14,7.883394953465528e-14,0.0,0.0,1.7614540498010556e-13,0.0,0.0,0.0,2.6842890230544228e-11,1.5842418653828563e-14,0.0,0.0,2.077179092476091e-13,0.0,0.0,4.8719245205993464e-11,1.3524155058780886e-11,1.073310567054998e-12,1.5662472062185712e-14,9.536755299868618e-14,0.0,0.0,2.1079416689725794e-13,0.0,0.0,0.0,5.324426002939465e-12,7.97046916095233e-12,1.5139248915989928e-14,6.033870351048285e-14,0.0,0.0,0.0,0.0,2.293896610214032e-12,6.870959272126149e-12,0.0,0.0,0.0,0.0,1.4261903809652725e-14,6.143803160889608e-14,1.8193180212526933e-12,5.686856643933379e-13,1.423948307525574e-14,7.464045613714846e-14,0.0,0.0,1.478843409969185e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.763915653953561e-13,8.67046580368388e-13,6.636288887406807e-13,6.707731094919788e-13,7.843706572395909e-13,5.6511234598424196e-12,1.0139611057824828e-11,7.806836919969508e-13,6.155733726312025e-13,5.07832193669996e-13,1.9717885964159218e-10
t9,8.485797177152627e-12,7.632807204486885e-12,5.277215742492172e-13,1.4482455582817478e-14,6.030517555824966e-14,0.0,0.0,0.0,0.0,0.0,4.3552112638251905e-12,8.09186148444356e-12,5.371628600424541e-13,1.5269196827481276e-14,1.517464850930493e-14,5.995878624141307e-14,0.0,0.0,1.9799894837230231e-13,0.0,0.0,0.0,6.334890760599126e-12,5.418932384695016e-13,1.4949836828002372e-14,0.0,0.0,0.0,0.0,6.904925408896835e-14,2.32261149840787e-12,5.88775877345073e-12,6.450714635195881e-12,5.701586679240594e-13,1.4972919763853386e-14,0.0,0.0,1.6458392908025382e-13,0.0,0.0,6.981070756450597e-12,8.116093222383464e-12,1.5182139283459872e-14,7.95038519042495e-14,0.0,0.0,1.8333536798644912e-13,0.0,0.0,0.0,2.2078760017240933e-11,1.587020440094823e-14,0.0,0.0,2.066896642066205e-13,0.0,0.0,1.0313293482922031e-10,1.0657219859480192e-11,1.0333620172597543e-12,1.571505884856524e-14,9.12677035748226e-14,0.0,0.0,2.1104115665876996e-13,0.0,0.0,0.0,6.832827653057217e-12,8.31941726586158e-12,1.5216860375862634e-14,6.069945406165828e-14,0.0,0.0,0.0,0.0,2.2929093022521925e-12,6.869234647422013e-12,0.0,0.0,0.0,0.0,1.4263153039307425e-14,6.141092629713997e-14,1.7952600956250916e-12,5.663660759444534e-13,1.4240561021836974e-14,7.451803268997851e-14,0.0,0.0,1.476498761404992e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.867113894423475e-13,8.671144786776474e-13,6.774485202030238e-13,6.810841471914492e-13,7.988395725310871e-13,1.667703331038473e-12,1.7804305287886e-12,7.895630128096095e-13,6.232519177869463e-13,5.039742499650277e-13,2.4132351519022196e-10
t10,3.8066093023249495e-12,7.288409387041753e-12,5.234746197012803e-13,1.4529040103746207e-14,6.004457084979439e-14,0.0,0.0,0.0,0.0,0.0,3.320868024502186e-12,7.80162368491274e-12,5.353255616845649e-13,1.5334196120133574e-14,1.5237236405876637e-14,5.963237923630947e-14,0.0,0.0,2.0559290318012464e-13,0.0,0.0,0.0,6.193725195592247e-12,5.390852876381528e-13,1.495391716107585e-14,0.0,0.0,0.0,0.0,6.870919605570924e-14,2.0556011945548988e-12,3.701163402756368e-12,6.264481677952137e-12,5.660413414923446e-13,1.497077962603517e-14,0.0,0.0,1.6363085787138512e-13,0.0,0.0,3.4512811185846574e-12,7.70547015228745e-12,1.5233508631021562e-14,7.964172098555738e-14,0.0,0.0,1.8795702693285494e-13,0.0,0.0,0.0,1.498067056910503e-11,1.587885977921629e-14,0.0,0.0,2.0485207806311316e-13,0.0,0.0,18.727471337741925,9.168559403347732e-12,9.842129981885484e-13,1.5747620445628518e-14,8.766220661722452e-14,0.0,0.0,2.096012366815987e-13,0.0,0.0,0.0,3.63155000406567e-12,7.91299495522131e-12,1.5274370532925148e-14,6.040638026782947e-14,0.0,0.0,0.0,0.0,2.286056580844952e-12,6.8498401797120755e-12,0.0,0.0,0.0,0.0,1.4264329498467594e-14,6.137647717876345e-14,1.7822182269731952e-12,5.652712827102343e-13,1.4241735801593888e-14,7.44216721753002e-14,0.0,0.0,1.475766467731122e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.454628257795638e-13,8.215121551690011e-13,6.509883328998376e-13,6.440069607518962e-13,7.519204044851835e-13,1.0023865224002125e-12,1.11431120879189e-12,7.409571137912071e-13,6.299213516578322e-13,5.008376959575173e-13,18.727471337853178
t11,3.34210786349625e-12,7.1227336132838485e-12,5.209708138514031e-13,1.4573875620177772e-14,6.005238857039473e-14,0.0,0.0,0.0,0.0,0.0,2.6145080054965768e-12,7.614375659956977e-12,5.369182616665791e-13,1.5399302450895288e-14,1.52999237404078e-14,5.984134836928875e-14,0.0,0.0,2.1510858349595888e-13,0.0,0.0,0.0,6.141045714554072e-12,5.382031618798742e-13,1.4956102524084057e-14,0.0,0.0,0.0,0.0,6.844154574698093e-14,1.9330780419010744e-12,2.9985711018304376e-12,6.1834806073018425e-12,5.64692290321308e-13,1.4967330858614308e-14,0.0,0.0,1.6300031968609284e-13,0.0,0.0,3.125693235237777e-12,7.488522368725175e-12,1.5283105041915242e-14,7.953071859978896e-14,0.0,0.0,1.935885105766752e-13,0.0,0.0,0.0,1.0325151715128839e-11,1.5878634543838705e-14,0.0,0.0,2.046863988603917e-13,0.0,0.0,2.917467152435931,8.346379831377072e-12,9.377800533365274e-13,1.576997763943041e-14,8.508855356735581e-14,0.0,0.0,2.0925606818043471e-13,0.0,0.0,0.0,3.023053819614061e-12,7.681378804757914e-12,1.5330275636611682e-14,6.040920331782715e-14,0.0,0.0,0.0,0.0,2.2962293579986845e-12,6.873093037170714e-12,0.0,0.0,0.0,0.0,1.4266223511860808e-14,6.137650859430096e-14,1.7937067022687288e-12,5.674074442815312e-13,1.424349724245175e-14,7.454772497838148e-14,0.0,0.0,1.4788985118167744e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.326224383482473e-13,7.922994206958607e-13,6.427997849811611e-13,6.271572803949142e-13,7.329007655365675e-13,7.723218416481893e-13,9.008049210538141e-13,7.23884031592576e-13,6.354773684239183e-13,5.039517874471559e-13,2.917467152537313
t12,2.908197529650056e-12,7.024406841592323e-12,5.181894696191963e-13,1.46194031747537e-14,5.987659396286098e-14,0.0,0.0,0.0,0.0,0.0,2.3583154306159644e-12,7.53807765671607e-12,5.362297316628143e-13,1.5464501045742568e-14,1.536271635315296e-14,5.981749906850553e-14,0.0,0.0,2.262252655626834e-13,0.0,0.0,0.0,6.112419635240684e-12,5.373070166440478e-13,1.495808249442536e-14,0.0,0.0,0.0,0.0,6.824112898449347e-14,1.8709457950400706e-12,2.6510305344629617e-12,6.142568891217755e-12,5.612041408157682e-13,1.496352789195873e-14,0.0,0.0,1.6232947003036154e-13,0.0,0.0,2.733637968979534e-12,7.374949207185592e-12,1.5332759693659238e-14,7.874530269313677e-14,0.0,0.0,2.0019495047619033e-13,0.0,0.0,0.0,8.42064350569825e-12,1.5879753611023963e-14,0.0,0.0,2.0724155164015352e-13,0.0,0.0,1.2401749409843477,8.026935570988269e-12,8.90231649332553e-13,1.5792587768350534e-14,8.278543535689667e-14,0.0,0.0,2.1097140138891517e-13,0.0,0.0,0.0,2.648877204715404e-12,7.531087756876889e-12,1.538669237194542e-14,6.028026472883255e-14,0.0,0.0,0.0,0.0,2.299636172713181e-12,6.881814382132976e-12,0.0,0.0,0.0,0.0,1.4268654434726864e-14,6.13695702360876e-14,1.8042230318727271e-12,5.688883798259101e-13,1.424554896152969e-14,7.472194204461584e-14,0.0,0.0,1.4833404506899542e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.150129188209806e-13,7.72681248987951e-13,6.319740067663569e-13,6.155277981353568e-13,7.228280838163025e-13,7.000313228616022e-13,8.039860088644879e-13,7.036154085811766e-13,6.341585292425778e-13,5.149526563350001e-13,1.2401749410808696
