Resource,BE0 0 CCGT,BE0 0 OCGT,BE0 0 biomass,BE0 0 coal,BE0 0 nuclear,BE0 0 offwind-ac,BE0 0 offwind-dc,BE0 0 onwind,BE0 0 ror,BE0 0 solar,DE0 0 CCGT,DE0 0 OCGT,DE0 0 biomass,DE0 0 coal,DE0 0 lignite,DE0 0 nuclear,DE0 0 offwind-ac,DE0 0 offwind-dc,DE0 0 oil,DE0 0 onwind,DE0 0 ror,DE0 0 solar,DK0 0 OCGT,DK0 0 biomass,DK0 0 coal,DK0 0 offwind-ac,DK0 0 offwind-dc,DK0 0 onwind,DK0 0 solar,DK0 0 nuclear,DK0 0 CCGT,DK3 0 CCGT,DK3 0 OCGT,DK3 0 biomass,DK3 0 coal,DK3 0 offwind-ac,DK3 0 offwind-dc,DK3 0 oil,DK3 0 onwind,DK3 0 nuclear,FR0 0 CCGT,FR0 0 OCGT,FR0 0 coal,FR0 0 nuclear,FR0 0 offwind-ac,FR0 0 offwind-dc,FR0 0 oil,FR0 0 onwind,FR0 0 ror,FR0 0 solar,GB4 0 CCGT,GB4 0 coal,GB4 0 offwind-ac,GB4 0 offwind-dc,GB4 0 oil,GB4 0 onwind,GB4 0 solar,GB5 0 CCGT,GB5 0 OCGT,GB5 0 biomass,GB5 0 coal,GB5 0 nuclear,GB5 0 offwind-ac,GB5 0 offwind-dc,GB5 0 oil,GB5 0 onwind,GB5 0 ror,GB5 0 solar,NL0 0 CCGT,NL0 0 OCGT,NL0 0 coal,NL0 0 nuclear,NL0 0 offwind-ac,NL0 0 offwind-dc,NL0 0 onwind,NL0 0 solar,NO3 0 CCGT,NO3 0 OCGT,NO3 0 offwind-ac,NO3 0 offwind-dc,NO3 0 onwind,NO3 0 solar,NO3 0 coal,NO3 0 nuclear,SE3 0 CCGT,SE3 0 biomass,SE3 0 coal,SE3 0 nuclear,SE3 0 offwind-ac,SE3 0 offwind-dc,SE3 0 oil,SE3 0 onwind,SE3 0 ror,SE3 0 solar,DE0 0 hydro,FR0 0 hydro,GB5 0 hydro,NO3 0 hydro,SE3 0 hydro,DE0 0 PHS,FR0 0 PHS,GB5 0 PHS,NO3 0 PHS,SE3 0 PHS,BE0 0 Battery,DE0 0 Battery,DK0 0 Battery,DK3 0 Battery,FR0 0 Battery,GB4 0 Battery,GB5 0 Battery,NL0 0 Battery,NO0 0 Battery,SE3 0 Battery,BE0 0 CCGT_CCS,DE0 0 CCGT_CCS,DK0 0 CCGT_CCS,DK3 0 CCGT_CCS,FR0 0 CCGT_CCS,GB4 0 CCGT_CCS,GB5 0 CCGT_CCS,NL0 0 CCGT_CCS,NO3 0 CCGT_CCS,SE3 0 CCGT_CCS,Total
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,2,5,7,9,10,2,5,7,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,0
AnnualSum,0.0,0.0,0.0,0.0,0.0,16683.470378489314,16826.186512405868,20013.58956349371,0.0,15427.647128357812,0.0,0.0,0.0,0.0,0.0,0.0,9165.866707530773,9070.048485553365,0.0,8115.462444694905,0.0,8327.853725398458,0.0,0.0,0.0,92272.93998402575,81095.78393449337,4.1853933409420513e6,2208.3541390634473,0.0,0.0,0.0,0.0,0.0,0.0,6458.197093220988,6502.923122201134,0.0,10183.535342108697,0.0,0.0,0.0,0.0,0.0,308.22070935191215,379.90558566432446,0.0,293039.33427586715,0.0,196063.9465008308,0.0,0.0,130782.0433629989,142293.19027108583,0.0,1.4951814394815337e7,18940.52104007909,0.0,0.0,0.0,0.0,0.0,4.079806259474699e6,4.216671950666436e6,0.0,1.6605988655064312e8,0.0,635094.3082430365,0.0,0.0,0.0,0.0,16866.046746345368,15835.45399925025,19963.955514947887,15548.219015086528,0.0,0.0,1.4305380153603495e-6,1.589915204470773e-6,5.092010339387657e-6,1.0510730807348466e-6,0.0,0.0,0.0,0.0,0.0,0.0,1.7871170857122828e-6,1.9295525641404283e-6,0.0,20.45146358646633,0.0,21.8268819175208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.952810817787256e8
t1,0.0,0.0,0.0,0.0,0.0,1.120952219935134e-10,1.1004885891452432e-10,1.2153122952440754e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2596501619555056e-10,1.1004885891452432e-10,0.0,1.4370016288012266e-10,0.0,0.0,0.0,0.0,0.0,1.4362910860654665e-10,1.242028702108655e-10,-7.057678885757923e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.439559582649963e-10,1.185185283247847e-10,0.0,7.958078640513122e-11,0.0,0.0,0.0,0.0,0.0,1.5158763133626962e-10,1.5997270175205358e-10,0.0,1.2005330063402653e-10,0.0,0.0,0.0,0.0,2.538982357691566e-10,2.4983393132060883e-10,0.0,2.6921043172478676e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.141860022675246e-10,2.6898305804934353e-10,0.0,2.3283064365386963e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.3287149158713873e-10,1.4074430509936064e-10,1.4733814168721437e-10,0.0,0.0,0.0,8.67962810631247e-11,9.70744775245926e-11,1.6012791093089618e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.67726296063118e-11,9.773073888450132e-11,0.0,1.4006218407303095e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.637582808622986e-9
t2,0.0,0.0,0.0,0.0,0.0,1.0885514711844735e-10,1.1141310096718371e-10,1.23463905765675e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2823875294998288e-10,1.1186784831807017e-10,0.0,1.4847501006443053e-10,0.0,0.0,0.0,0.0,0.0,1.4433965134230675e-10,1.304840679949848e-10,4.187313606962562e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4097167877480388e-10,1.1689849088725168e-10,0.0,2.0631887309718877e-9,0.0,0.0,0.0,0.0,0.0,1.500475299565096e-10,1.6183143713988102e-10,0.0,1.2005330063402653e-10,0.0,0.0,0.0,0.0,2.544844335261587e-10,2.5791280222620117e-10,0.0,2.7284841053187847e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.2009771782904863e-10,2.8262547857593745e-10,0.0,2.1827872842550278e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.3216094885137863e-10,1.447233444196172e-10,1.446096575818956e-10,0.0,0.0,0.0,8.867032693648365e-11,1.0068928802077065e-10,1.5563728084089234e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.53257540057982e-11,9.624212132524778e-11,0.0,1.3278622645884752e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0534534779403661e-8
t3,0.0,0.0,0.0,0.0,0.0,1.0811618267325684e-10,1.106172931031324e-10,1.233502189279534e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2528289516922086e-10,1.241460267920047e-10,0.0,1.5052137314341962e-10,0.0,0.0,0.0,0.0,0.0,1.4370016288012266e-10,1.3287149158713873e-10,-5.638867150992155e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3986323210701812e-10,1.361684098810656e-10,0.0,3.0445335141848773e-9,0.0,0.0,0.0,0.0,0.0,1.4855761065746265e-10,1.6203394181957265e-10,0.0,1.2005330063402653e-10,0.0,0.0,0.0,0.0,2.487823280716839e-10,2.551843181208824e-10,0.0,2.6557245291769505e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.1509549696929753e-10,2.7557689463719726e-10,0.0,2.473825588822365e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.3159251466277055e-10,1.440412233932875e-10,1.4370016288012266e-10,0.0,0.0,0.0,9.042806226419166e-11,1.001471527120372e-10,1.560920281917788e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.366596881324963e-11,9.423302963116347e-11,0.0,1.382431946694851e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.30316436886743e-9
t4,0.0,0.0,0.0,0.0,0.0,1.1152678780490533e-10,1.1334577720845118e-10,1.2391865311656147e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3324097380973399e-10,1.4370016288012266e-10,0.0,1.589341991348192e-10,0.0,0.0,0.0,0.0,0.0,1.4377832258105627e-10,1.2363443602225743e-10,2.296474121976644e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4244960766518489e-10,1.3488943295669742e-10,0.0,-5.788933776784688e-10,0.0,0.0,0.0,0.0,0.0,1.4957945992932764e-10,1.6655077317295763e-10,0.0,1.2369127944111824e-10,0.0,0.0,0.0,0.0,2.5431035055589746e-10,2.5995916530519025e-10,0.0,2.6830093702301383e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.1645973902195692e-10,2.7966962079517543e-10,0.0,2.6193447411060333e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.354578671453055e-10,1.4557599570252933e-10,1.4733814168721437e-10,0.0,0.0,0.0,9.088084545195995e-11,9.798008104755874e-11,1.554099071654491e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.126092677223774e-11,9.148173254968449e-11,0.0,1.3278622645884752e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.105626620813993e-9
t5,0.0,0.0,0.0,0.0,0.0,1.14880549517693e-10,1.1357315088389441e-10,1.2380496627883986e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3028511602897197e-10,1.4938450476620346e-10,0.0,1.5052137314341962e-10,0.0,0.0,0.0,0.0,0.0,1.4425438621401554e-10,1.2612133559741778e-10,-3.1013769330456853e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4193801689543761e-10,1.3235990081739146e-10,0.0,-6.648406269960105e-10,0.0,0.0,0.0,0.0,0.0,1.4877565845949903e-10,1.677276095790603e-10,0.0,1.418811734765768e-10,0.0,0.0,0.0,0.0,2.4852653268681024e-10,2.56704879575409e-10,0.0,2.737579052336514e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.1645973902195692e-10,2.837623469531536e-10,0.0,2.6193447411060333e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.369642177451169e-10,1.426201379217673e-10,1.509761204943061e-10,0.0,0.0,0.0,9.04798654356994e-11,9.646698383554734e-11,1.5506884665228426e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.13203152678831e-11,9.021523556343459e-11,0.0,1.2641976354643703e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.422206785401902e-9
t6,0.0,0.0,0.0,0.0,0.0,1.1442580216680653e-10,1.1448264558566734e-10,1.2391865311656147e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3210410543251783e-10,1.5052137314341962e-10,0.0,1.496118784416467e-10,0.0,0.0,0.0,0.0,0.0,1.4356515976032824e-10,1.2751399935950758e-10,-1.9372237147763371e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4165379980113357e-10,1.3005774235352874e-10,0.0,1.7876118363346905e-9,0.0,0.0,0.0,0.0,0.0,1.4773160472714153e-10,1.6727308427277876e-10,0.0,1.2369127944111824e-10,0.0,0.0,0.0,0.0,2.4661517272761557e-10,2.566054035924026e-10,0.0,2.874003257602453e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.1645973902195692e-10,2.7853275241795927e-10,0.0,2.3283064365386963e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.3795897757518105e-10,1.4028955774847418e-10,1.5006662579253316e-10,0.0,0.0,0.0,9.060541458739994e-11,9.512558935270797e-11,1.5489831639570184e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.894684436294833e-11,9.308259586504205e-11,0.0,1.355147105641663e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.955373261877417e-9
t7,0.0,0.0,0.0,0.0,0.0,1.1340262062731199e-10,1.1505107977427542e-10,1.2391865311656147e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3096723705530167e-10,1.5415935195051134e-10,0.0,1.5779733075760305e-10,0.0,0.0,0.0,0.0,0.0,1.440483288206451e-10,1.29091404232895e-10,2.068190951831639e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4213696886145044e-10,1.2946088645549025e-10,0.0,-6.675691111013293e-10,0.0,0.0,0.0,0.0,0.0,1.4824075300623463e-10,1.6603862729169805e-10,0.0,1.2005330063402653e-10,0.0,0.0,0.0,0.0,2.390621034464857e-10,2.424513922960614e-10,0.0,2.928572939708829e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.9349499780219048e-10,2.503384166629985e-10,0.0,2.0372681319713593e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.4031797945790458e-10,1.3784529073745944e-10,1.509761204943061e-10,0.0,0.0,0.0,9.100468953629837e-11,9.512811609679924e-11,1.5836576494621113e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.907010848979763e-11,9.105958194357033e-11,0.0,1.3096723705530167e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.671654289447718e-9
t8,0.0,0.0,0.0,0.0,0.0,1.1021938917110674e-10,1.199396137963049e-10,1.2153122952440754e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.291482476517558e-10,1.4983925211708993e-10,0.0,1.5620571502950042e-10,0.0,0.0,0.0,0.0,0.0,1.424922402293305e-10,1.2875034371973015e-10,1.8271748558618128e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3886847227695398e-10,1.263060767087154e-10,0.0,1.7125785234384239e-9,0.0,0.0,0.0,0.0,0.0,1.443782871035637e-10,1.6089252152795552e-10,0.0,1.2005330063402653e-10,0.0,0.0,0.0,0.0,1.5197088032437023e-10,1.4490808553091483e-10,0.0,1.6189005691558123e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.1596057447604835e-10,1.48929757415317e-10,0.0,1.1641532182693481e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.383853032166371e-10,1.333546606474556e-10,1.4279066817834973e-10,0.0,0.0,0.0,9.067190163686382e-11,9.320574526821156e-11,1.5722889656899497e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.095316728361768e-11,9.255181041238407e-11,0.0,1.4006218407303095e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.197657082565389e-9
t9,0.0,0.0,0.0,0.0,0.0,1.0550138540565968e-10,1.1476686267997138e-10,1.149373929365538e-10,0.0,1.3039880286669359e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.2141754268668592e-10,1.432454155292362e-10,0.0,1.4915713109076023e-10,0.0,1.4279066817834973e-10,0.0,0.0,0.0,1.361684098810656e-10,1.2708056829069392e-10,1.3078533811494708e-9,1.234869984045872e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.3238832252682187e-10,1.2016698747174814e-10,0.0,-1.6634658095426857e-9,0.0,0.0,0.0,0.0,0.0,1.33854038963932e-10,1.5163026390041523e-10,0.0,1.1641532182693481e-10,0.0,4.0108716348186135e-10,0.0,0.0,1.3355361261346843e-10,1.37532651933725e-10,0.0,1.9099388737231493e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.1050360626541078e-10,1.3801582099404186e-10,0.0,1.0186340659856796e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.3150724953447934e-10,1.283524397877045e-10,1.418811734765768e-10,1.2781242730852682e-10,0.0,0.0,9.082145725567663e-11,9.055437852629557e-11,1.566604623803869e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.375193610896505e-11,9.52421522015066e-11,0.0,1.418811734765768e-10,0.0,1.6157919446868618e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.271387878031665e-9
t10,0.0,0.0,0.0,0.0,0.0,1.0504663805477321e-10,1.1482370609883219e-10,1.1294787327642553e-10,0.0,1.3938006304670125e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.4085799193708226e-10,1.4574652595911175e-10,0.0,1.552962203277275e-10,0.0,1.3915268937125802e-10,0.0,0.0,0.0,1.3529444231608068e-10,1.3253043107397389e-10,-7.130438461899757e-10,1.3030820866788417e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.3169199064577697e-10,1.1974066183029208e-10,0.0,8.012648322619498e-10,0.0,0.0,0.0,0.0,0.0,1.3175505131357568e-10,1.5021683896776494e-10,0.0,1.2732925824820995e-10,0.0,-9.149516699835658e-10,0.0,0.0,1.312798758590361e-10,1.3565681911131833e-10,0.0,1.5643308870494366e-10,1.5003820408310276e-10,0.0,0.0,0.0,0.0,0.0,1.1164047464262694e-10,1.3778844731859863e-10,0.0,1.1641532182693481e-10,0.0,1.5160139810177498e-10,0.0,0.0,0.0,0.0,1.2897771739517339e-10,1.3136514098732732e-10,1.3005774235352874e-10,1.3790213415632024e-10,0.0,0.0,9.342206235704831e-11,9.014324725913385e-11,1.5938894648570567e-10,1.1197626289008675e-10,0.0,0.0,0.0,0.0,0.0,0.0,8.492426262157489e-11,9.655814910813206e-11,0.0,1.4370016288012266e-10,0.0,1.6396839441767952e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.848625759784048e-9
t11,0.0,0.0,0.0,0.0,0.0,1.0348344403610099e-10,1.1240786079724785e-10,1.1075940165028442e-10,0.0,1.376179170620162e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.411990524502471e-10,1.4711076801177114e-10,0.0,1.546140993013978e-10,0.0,1.3005774235352874e-10,0.0,0.0,0.0,1.3446310731524136e-10,1.3375256457948126e-10,1.0204530553892255e-9,1.3028511602897197e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.511324398961733e-10,1.1935696875298163e-10,0.0,2.964952727779746e-9,0.0,0.0,0.0,0.0,0.0,1.3335754722731963e-10,1.5326562241568809e-10,0.0,1.3096723705530167e-10,0.0,-4.001776687800884e-10,0.0,0.0,1.312940867137513e-10,1.3491785466612782e-10,0.0,1.5279510989785194e-10,1.4498624523184844e-10,0.0,0.0,0.0,0.0,0.0,1.07775122160092e-10,1.3983481039758772e-10,0.0,1.0913936421275139e-10,0.0,1.546140993013978e-10,0.0,0.0,0.0,0.0,1.255955339729553e-10,1.3511680663214065e-10,1.3005774235352874e-10,1.3926637620897964e-10,0.0,0.0,9.527553171314569e-11,9.305029447837063e-11,1.5944578990456648e-10,1.332454090038433e-10,0.0,0.0,0.0,0.0,0.0,0.0,8.30710204306188e-11,9.279187472218268e-11,0.0,1.4551915228366852e-10,0.0,1.6392576185353391e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.28077698946158e-9
t12,0.0,0.0,0.0,0.0,0.0,1.0294343155692331e-10,1.0948042472591624e-10,1.0837197805813048e-10,0.0,1.3585577107733116e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.4199486031429842e-10,1.5018031263025478e-10,0.0,1.5802470443304628e-10,0.0,1.227817847393453e-10,0.0,0.0,0.0,1.3228174111645785e-10,1.3221779227023944e-10,2.4920154828578234e-10,1.39063871529288e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.5117507246031892e-10,1.1941381217184244e-10,0.0,1.3742464943788946e-9,0.0,0.0,0.0,0.0,0.0,1.3543766108625732e-10,1.529738558048166e-10,0.0,1.2005330063402653e-10,0.0,1.153239281848073e-9,0.0,0.0,1.284377049159957e-10,1.3078249594400404e-10,0.0,2.128217602148652e-10,1.4241230417155748e-10,0.0,0.0,0.0,0.0,0.0,1.198259269585833e-10,1.375610736431554e-10,0.0,1.3096723705530167e-10,0.0,1.4631496014771983e-10,0.0,0.0,0.0,0.0,1.2470025012589758e-10,1.3176304491935298e-10,1.3096723705530167e-10,1.3926637620897964e-10,0.0,0.0,9.718671559805034e-11,9.07399755602903e-11,1.5978685041773133e-10,1.2965950891478002e-10,0.0,0.0,0.0,0.0,0.0,0.0,8.559128547317316e-11,9.727684453701373e-11,0.0,1.418811734765768e-10,0.0,1.630624524295854e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.529942876889158e-9
t13,0.0,0.0,0.0,0.0,0.0,1.0325607036065776e-10,1.0879830369958654e-10,1.0845724318642169e-10,0.0,1.4006218407303095e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.2369127944111824e-10,1.4904344425303861e-10,0.0,1.5688783605583012e-10,0.0,1.3233147910796106e-10,0.0,0.0,0.0,1.3065815096524602e-10,1.3086776107229525e-10,-2.632987161632627e-10,1.355502377009543e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.49000811688893e-10,1.1959855328314006e-10,0.0,7.112248567864299e-10,0.0,0.0,0.0,0.0,0.0,1.3552203803612883e-10,1.529317783521833e-10,0.0,1.2369127944111824e-10,0.0,-4.729372449219227e-11,0.0,0.0,1.2722978226520354e-10,1.2855139175371733e-10,0.0,1.7462298274040222e-10,1.4149925675610575e-10,0.0,0.0,0.0,0.0,0.0,1.1254996934439987e-10,1.3164935808163136e-10,0.0,9.458744898438454e-11,0.0,1.475655153626576e-10,0.0,0.0,0.0,0.0,1.2515499747678405e-10,1.326725396211259e-10,1.318767317570746e-10,1.3989165381644852e-10,0.0,0.0,9.47610879196332e-11,8.878807563746769e-11,1.5592149793519638e-10,1.2923835305130752e-10,0.0,0.0,0.0,0.0,0.0,0.0,8.917410444743487e-11,9.19957023366955e-11,0.0,1.4915713109076023e-10,0.0,1.659294923683774e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.053797939595387e-9
t14,0.0,0.0,0.0,0.0,0.0,1.0432188446429791e-10,1.0845724318642169e-10,1.0872724942601053e-10,0.0,1.4085799193708226e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.21985976875294e-10,1.47451828524936e-10,0.0,1.5688783605583012e-10,0.0,1.405169314239174e-10,0.0,0.0,0.0,1.2752821021422278e-10,1.2795098314200004e-10,4.558842192636803e-10,1.3448797631099296e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.488729139964562e-10,1.1951328815484885e-10,0.0,8.067218004725873e-10,0.0,0.0,0.0,0.0,0.0,1.3392642550513756e-10,1.5285961385558267e-10,0.0,1.2369127944111824e-10,0.0,6.366462912410498e-10,0.0,0.0,1.333262389380252e-10,1.2813927696697647e-10,0.0,1.8189894035458565e-10,1.4228973554963886e-10,0.0,0.0,0.0,0.0,0.0,1.1232259566895664e-10,1.3324097380973399e-10,0.0,1.0913936421275139e-10,0.0,1.4927081792848185e-10,0.0,0.0,0.0,0.0,1.2423129192029592e-10,1.3181988833821379e-10,1.368789526168257e-10,1.3886847227695398e-10,0.0,0.0,9.287255971475125e-11,8.780616756699493e-11,1.5444356904481538e-10,1.0126065947738849e-10,0.0,0.0,0.0,0.0,0.0,0.0,9.100970411565238e-11,9.460374018215952e-11,0.0,1.5916157281026244e-10,0.0,1.6769519106674124e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.567569656051671e-9
t15,0.0,0.0,0.0,0.0,0.0,1.0490452950762119e-10,1.0831513463926967e-10,1.0875567113544093e-10,0.0,1.383568815072067e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.2187229003757238e-10,1.5006662579253316e-10,0.0,1.589341991348192e-10,0.0,1.5415935195051134e-10,0.0,0.0,0.0,1.2780532188116922e-10,1.2851231190325052e-10,4.661160346586257e-10,1.2439826946319954e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.4664180980616948e-10,1.1942802302655764e-10,0.0,1.0275016393279657e-9,0.0,0.0,0.0,0.0,0.0,1.3451795233265784e-10,1.5209145054484452e-10,0.0,1.3096723705530167e-10,0.0,1.1004885891452432e-10,0.0,0.0,1.284519157707109e-10,1.2778400559909642e-10,0.0,1.6007106751203537e-10,1.4219025956663245e-10,0.0,0.0,0.0,0.0,0.0,1.1129941412946209e-10,1.3415046851150692e-10,0.0,1.0913936421275139e-10,0.0,1.5427303878823295e-10,0.0,0.0,0.0,0.0,1.2447287645045435e-10,1.2954615158378147e-10,1.355147105641663e-10,1.3557155398302712e-10,0.0,0.0,9.06124271197711e-11,8.859891187811791e-11,1.5273826647899114e-10,3.639180144329886e-11,0.0,0.0,0.0,0.0,0.0,0.0,9.521215693684915e-11,9.58583504505475e-11,0.0,1.5825207810848951e-10,0.0,1.2631296009146809e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.149835371798631e-9
