H2_Resource,Zone,H2_FLEX,H2_GEN_TYPE,H2_STOR,LDS,New_Build,etaP2G_MWh_p_tonne,etaFuel_MMBtu_p_tonne,Inv_Cost_p_tonne_p_hr_yr,Inv_Cost_Charge_p_tonne_p_hr_yr,Inv_Cost_Energy_p_tonne_yr,Fixed_OM_Cost_p_tonne_p_hr_yr,Fixed_OM_Cost_Charge_p_tonne_p_hr_yr,Fixed_OM_Cost_Energy_p_tonne_yr,Var_OM_Cost_p_tonne,Var_OM_Cost_Charge_p_tonne,Fuel,Max_Cap_tonne_p_hr,Min_Cap_tonne_p_hr,Max_Charge_Cap_tonne_p_hr,Min_Charge_Cap_tonne_p_hr,Max_Energy_Cap_tonne,Min_Energy_Cap_tonne,Existing_Cap_tonne_p_hr,Existing_Charge_Cap_tonne_p_hr,Existing_Energy_Cap_tonne,Cap_Size_tonne_p_hr,Ramp_Up_Percentage,Ramp_Down_Percentage,H2Gen_min_output,H2Stor_min_level,H2Stor_max_level,H2Stor_self_discharge_rate_p_hour,H2Stor_Charge_MWh_p_tonne,H2Stor_Charge_MMBtu_p_tonne,H2Stor_eff_charge,H2Stor_eff_discharge,Start_Cost_per_tonne_p_hr,Up_Time,Down_Time,Flexible_Demand_Energy_Eff,Max_Flexible_Demand_Delay,Max_Flexible_Demand_Advance
Small_Electrolyzer_1.0,1,0,2,0,0,1,48.3,0,1953650,0,0,30500,0,0,0,0,None,-1,0,-1,0,-1,0,0,0,0,0.04,1,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
Large_SMR_1.0,1,0,1,0,0,1,0,170.14,1939750,0,0,142532.9988,0,0,0,0,ng,-1,0,-1,0,-1,0,0,0,0,2,0.5,0.5,0.9,0,0,0,0,0,0,0,5,3,3,0,0,0
Large_SMR_wCCS_90pct_1.0,1,0,1,0,0,1,0,186.98,2898970,0,0,127958.9833,0,0,0,0,ngccus90,-1,0,-1,0,-1,0,0,0,0,2,0.5,0.5,0.9,0,0,0,0,0,0,0,100,3,3,0,0,0
Above_ground_storage_1.0,1,0,0,1,1,1,0,0,0,53276,61800,7000,5000,3500,0,0,None,-1,0,-1,0,-1,0,0,0,0,0,1,1,0,0.3,1,0,2,0,1,1,0,0,0,0,0,0
Small_Electrolyzer_2.0,2,0,2,0,0,1,48.3,0,1953650,0,0,30500,0,0,0,0,None,-1,0,-1,0,-1,0,0,0,0,0.04,1,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
Large_SMR_2.0,2,0,1,0,0,1,0,170.14,1939750,0,0,142532.9988,0,0,0,0,ng,-1,0,-1,0,-1,0,0,0,0,2,0.5,0.5,0.9,0,0,0,0,0,0,0,5,3,3,0,0,0
Large_SMR_wCCS_90pct_2.0,2,0,1,0,0,1,0,186.98,2898970,0,0,7000,0,0,0,0,ngccus90,-1,0,-1,0,-1,0,0,0,0,2,0.5,0.5,0.9,0,0,0,0,0,0,0,100,3,3,0,0,0
Above_ground_storage_2.0,2,0,0,1,1,1,0,0,0,53276,61800,7000,5000,3500,0,0,None,-1,0,-1,0,-1,0,0,0,0,0,1,1,0,0.3,1,0,2,0,1,1,0,0,0,0,0,0
Small_Electrolyzer_3.0,3,0,2,0,0,1,48.3,0,1953650,0,0,30500,0,0,0,0,None,-1,0,-1,0,-1,0,0,0,0,0.04,1,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
Large_SMR_3.0,3,0,1,0,0,1,0,170.14,1939750,0,0,142532.9988,0,0,0,0,ng,-1,0,-1,0,-1,0,0,0,0,2,0.5,0.5,0.9,0,0,0,0,0,0,0,5,3,3,0,0,0
Large_SMR_wCCS_90pct_3.0,3,0,1,0,0,1,0,186.98,2898970,0,0,127958.9833,0,0,0,0,ngccus90,-1,0,-1,0,-1,0,0,0,0,2,0.5,0.5,0.9,0,0,0,0,0,0,0,100,3,3,0,0,0
Above_ground_storage_3.0,3,0,0,1,1,1,0,0,0,53276,61800,7000,5000,3500,0,0,None,-1,0,-1,0,-1,0,0,0,0,0,1,1,0,0.3,1,0,2,0,1,1,0,0,0,0,0,0
Small_Electrolyzer_4.0,4,0,2,0,0,1,48.3,0,1953650,0,0,30500,0,0,0,0,None,-1,0,-1,0,-1,0,0,0,0,0.04,1,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
Large_SMR_4.0,4,0,1,0,0,1,0,170.14,1939750,0,0,142532.9988,0,0,0,0,ng,-1,0,-1,0,-1,0,0,0,0,2,0.5,0.5,0.9,0,0,0,0,0,0,0,5,3,3,0,0,0
Large_SMR_wCCS_90pct_4.0,4,0,1,0,0,1,0,186.98,2898970,0,0,127958.9833,0,0,0,0,ngccus90,-1,0,-1,0,-1,0,0,0,0,2,0.5,0.5,0.9,0,0,0,0,0,0,0,100,3,3,0,0,0
Above_ground_storage_4.0,4,0,0,1,1,1,0,0,0,53276,61800,7000,5000,3500,0,0,None,-1,0,-1,0,-1,0,0,0,0,0,1,1,0,0.3,1,0,2,0,1,1,0,0,0,0,0,0
Small_Electrolyzer_5.0,5,0,2,0,0,1,48.3,0,1953650,0,0,30500,0,0,0,0,None,-1,0,-1,0,-1,0,0,0,0,0.04,1,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
Large_SMR_5.0,5,0,1,0,0,1,0,170.14,1939750,0,0,142532.9988,0,0,0,0,ng,-1,0,-1,0,-1,0,0,0,0,2,0.5,0.5,0.9,0,0,0,0,0,0,0,5,3,3,0,0,0
Large_SMR_wCCS_90pct_5.0,5,0,1,0,0,1,0,186.98,2898970,0,0,127958.9833,0,0,0,0,ngccus90,-1,0,-1,0,-1,0,0,0,0,2,0.5,0.5,0.9,0,0,0,0,0,0,0,100,3,3,0,0,0
Above_ground_storage_5.0,5,0,0,1,1,1,0,0,0,53276,61800,7000,5000,3500,0,0,None,-1,0,-1,0,-1,0,0,0,0,0,1,1,0,0.3,1,0,2,0,1,1,0,0,0,0,0,0
Small_Electrolyzer_6.0,6,0,2,0,0,1,48.3,0,1953650,0,0,30500,0,0,0,0,None,-1,0,-1,0,-1,0,0,0,0,0.04,1,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
Large_SMR_6.0,6,0,1,0,0,1,0,170.14,1939750,0,0,142532.9988,0,0,0,0,ng,-1,0,-1,0,-1,0,0,0,0,2,0.5,0.5,0.9,0,0,0,0,0,0,0,5,3,3,0,0,0
Large_SMR_wCCS_90pct_6.0,6,0,1,0,0,1,0,186.98,2898970,0,0,127958.9833,0,0,0,0,ngccus90,-1,0,-1,0,-1,0,0,0,0,2,0.5,0.5,0.9,0,0,0,0,0,0,0,100,3,3,0,0,0
Above_ground_storage_6.0,6,0,0,1,1,1,0,0,0,53276,61800,7000,5000,3500,0,0,None,-1,0,-1,0,-1,0,0,0,0,0,1,1,0,0.3,1,0,2,0,1,1,0,0,0,0,0,0
