CO2_Pipelines,z1,z2,z3,z4,z5,z6,z7,z8,z9,Max_No_Pipe,Existing_No_Pipe,Max_Flow_Tonne_p_hr_Per_Pipe,Pipe_length_miles,CO2PipeLoss_tonne_per_mile_per_tonne,CO2PipeCap_tonne_per_mile,Min_pipecap_stor_frac,CO2_len_bw_comp_mile,BoosterCompCapex_per_tonne_p_hr_yr,BoosterCompEnergy_MWh_per_tonne,CO2Pipe_Inv_Cost_per_mile_yr_Mean,CO2Pipe_Fixed_OM_Cost_per_mile_yr_Mean,CO2Pipe_Energy_MWh_per_mile_per_tonne_Mean
1,1,-1,0,0,0,0,0,0,0,1000,0,1141.552511,123.0584,0,0,0,3.3,0,0,162687.5887,21200,0
2,1,0,-1,0,0,0,0,0,0,1000,0,1141.552511,196.5385,0,0,0,3.3,0,0,162687.5887,21200,0
3,0,1,-1,0,0,0,0,0,0,1000,0,1141.552511,196.5385,0,0,0,3.3,0,0,162687.5887,21200,0
4,0,0,1,0,0,-1,0,0,0,1000,0,1141.552511,123.0584,0,0,0,3.3,0,0,162687.5887,21200,0
5,0,0,0,1,0,-1,0,0,0,1000,0,1141.552511,196.5385,0,0,0,3.3,0,0,162687.5887,21200,0
6,0,0,0,0,1,-1,0,0,0,1000,0,1141.552511,196.5385,0,0,0,3.3,0,0,162687.5887,21200,0
7,0,0,0,0,1,0,-1,0,0,1000,0,1141.552511,123.0584,0,0,0,3.3,0,0,162687.5887,21200,0
8,0,0,0,0,1,0,0,-1,0,1000,0,1141.552511,196.5385,0,0,0,3.3,0,0,162687.5887,21200,0
9,0,0,0,0,0,1,-1,0,0,1000,0,1141.552511,123.0584,0,0,0,3.3,0,0,162687.5887,21200,0
10,0,0,0,0,0,0,1,-1,0,1000,0,1141.552511,196.5385,0,0,0,3.3,0,0,162687.5887,21200,0
11,0,0,0,0,0,0,0,1,-1,1000,0,1141.552511,196.5385,0,0,0,3.3,0,0,162687.5887,21200,0
