Resource,Zone,THERM,MUST_RUN,STOR,FLEX,HYDRO,VRE,LDS,Num_VRE_Bins,New_Build,Existing_Cap_MW,Existing_Cap_MWh,Existing_Charge_Cap_MW,Max_Cap_MW,Max_Cap_MWh,Max_Charge_Cap_MW,Min_Cap_MW,Min_Cap_MWh,Min_Charge_Cap_MW,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Fixed_OM_Cost_Charge_per_MWyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,VRE_Trans_Cost_per_MWyr,Heat_Rate_MMBTU_per_MWh,Fuel,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Up_Time,Down_Time,Ramp_Up_Percentage,Ramp_Dn_Percentage,Hydro_Energy_to_Power_Ratio,Min_Power,Self_Disch,Eff_Up,Eff_Down,Min_Duration,Max_Duration,Max_Flexible_Demand_Advance,Max_Flexible_Demand_Delay,Flexible_Demand_Energy_Eff,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,MinCapTag,MinCapTag_1,MinCapTag_2,MinCapTag_3,MGA,Resource_Type,CapRes_1,CapRes_2,CapRes_3,ESR_1,ESR_2,region,cluster,LDS.1,CCS_Rate
MIDAT_utilitypv_class1_moderate_70_0_2_5,2,0,0,0,0,0,1,0,1,1,0,0,0,1212132,-1,-1,0,0,0,48936.84261,0,0,14986.46926,0,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,utilitypv_class1_moderate_70_0_2,0,0.8,0,1,1,MIDAT,5,0,0
MIDAT_utilitypv_class1_moderate_70_0_2_6,2,0,0,0,0,0,1,0,1,1,0,0,0,1080112,-1,-1,0,0,0,48936.84261,0,0,14986.46926,0,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,utilitypv_class1_moderate_70_0_2,0,0.8,0,1,1,MIDAT,6,0,0
MIDAT_utilitypv_class1_moderate_70_0_2_7,2,0,0,0,0,0,1,0,1,1,0,0,0,608258,-1,-1,0,0,0,48936.84261,0,0,14986.46926,0,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,utilitypv_class1_moderate_70_0_2,0,0.8,0,1,1,MIDAT,7,0,0
NE_utilitypv_class1_moderate_70_0_2_1,3,0,0,0,0,0,1,0,1,1,0,0,0,156573,-1,-1,0,0,0,52645.91215,0,0,14986.46926,0,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,utilitypv_class1_moderate_70_0_2,0,0,0.8,1,1,NE,1,0,0
NE_utilitypv_class1_moderate_70_0_2_2,3,0,0,0,0,0,1,0,1,1,0,0,0,141382,-1,-1,0,0,0,52645.91215,0,0,14986.46926,0,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,utilitypv_class1_moderate_70_0_2,0,0,0.8,1,1,NE,2,0,0
NE_utilitypv_class1_moderate_70_0_2_3,3,0,0,0,0,0,1,0,1,1,0,0,0,894093,-1,-1,0,0,0,52645.91215,0,0,14986.46926,0,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,utilitypv_class1_moderate_70_0_2,0,0,0.8,1,1,NE,3,0,0
NE_utilitypv_class1_moderate_70_0_2_4,3,0,0,0,0,0,1,0,1,1,0,0,0,301180,-1,-1,0,0,0,52645.91215,0,0,14986.46926,0,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,utilitypv_class1_moderate_70_0_2,0,0,0.8,1,1,NE,4,0,0
NE_utilitypv_class1_moderate_70_0_2_5,3,0,0,0,0,0,1,0,1,1,0,0,0,996252,-1,-1,0,0,0,52645.91215,0,0,14986.46926,0,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,utilitypv_class1_moderate_70_0_2,0,0,0.8,1,1,NE,5,0,0
NE_utilitypv_class1_moderate_70_0_2_6,3,0,0,0,0,0,1,0,1,1,0,0,0,14823,-1,-1,0,0,0,52645.91215,0,0,14986.46926,0,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,utilitypv_class1_moderate_70_0_2,0,0,0.8,1,1,NE,6,0,0
NE_utilitypv_class1_moderate_70_0_2_7,3,0,0,0,0,0,1,0,1,1,0,0,0,233816,-1,-1,0,0,0,52645.91215,0,0,14986.46926,0,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,utilitypv_class1_moderate_70_0_2,0,0,0.8,1,1,NE,7,0,0
SE_landbasedwind_class4_moderate_70_1,1,0,0,0,0,0,1,0,1,1,0,0,0,84058,-1,-1,0,0,0,64093.17905,0,0,33107.5,0,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,landbasedwind_class4_moderate_80,0.8,0,0,1,1,SE,1,0,0
SE_landbasedwind_class4_moderate_70_2,1,0,0,0,0,0,1,0,1,1,0,0,0,20182,-1,-1,0,0,0,64093.17905,0,0,33107.5,0,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,landbasedwind_class4_moderate_81,0.8,0,0,1,1,SE,2,0,0
SE_landbasedwind_class4_moderate_70_3,1,0,0,0,0,0,1,0,1,1,0,0,0,105301,-1,-1,0,0,0,64093.17905,0,0,33107.5,0,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,landbasedwind_class4_moderate_82,0.8,0,0,1,1,SE,3,0,0
SE_landbasedwind_class4_moderate_70_4,1,0,0,0,0,0,1,0,1,1,0,0,0,95536,-1,-1,0,0,0,64093.17905,0,0,33107.5,0,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,landbasedwind_class4_moderate_83,0.8,0,0,1,1,SE,4,0,0
SE_landbasedwind_class4_moderate_70_5,1,0,0,0,0,0,1,0,1,1,0,0,0,79807,-1,-1,0,0,0,64093.17905,0,0,33107.5,0,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,landbasedwind_class4_moderate_84,0.8,0,0,1,1,SE,5,0,0
SE_landbasedwind_class4_moderate_70_6,1,0,0,0,0,0,1,0,1,1,0,0,0,117168,-1,-1,0,0,0,64093.17905,0,0,33107.5,0,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,landbasedwind_class4_moderate_85,0.8,0,0,1,1,SE,6,0,0
SE_landbasedwind_class4_moderate_70_7,1,0,0,0,0,0,1,0,1,1,0,0,0,66201,-1,-1,0,0,0,64093.17905,0,0,33107.5,0,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,landbasedwind_class4_moderate_86,0.8,0,0,1,1,SE,7,0,0
SE_landbasedwind_class4_moderate_70_8,1,0,0,0,0,0,1,0,1,1,0,0,0,102849,-1,-1,0,0,0,64093.17905,0,0,33107.5,0,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,landbasedwind_class4_moderate_87,0.8,0,0,1,1,SE,8,0,0
MIDAT_landbasedwind_class4_moderate_70_1,2,0,0,0,0,0,1,0,1,1,0,0,0,1384,-1,-1,0,0,0,68923.05094,0,0,33107.5,0,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,landbasedwind_class4_moderate_70,0,0.8,0,1,1,MIDAT,1,0,0
MIDAT_landbasedwind_class4_moderate_70_2,2,0,0,0,0,0,1,0,1,1,0,0,0,25176,-1,-1,0,0,0,68923.05094,0,0,33107.5,0,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,landbasedwind_class4_moderate_70,0,0.8,0,1,1,MIDAT,2,0,0
MIDAT_landbasedwind_class4_moderate_70_3,2,0,0,0,0,0,1,0,1,1,0,0,0,10379,-1,-1,0,0,0,68923.05094,0,0,33107.5,0,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,landbasedwind_class4_moderate_70,0,0.8,0,1,1,MIDAT,3,0,0
MIDAT_landbasedwind_class4_moderate_70_4,2,0,0,0,0,0,1,0,1,1,0,0,0,94297,-1,-1,0,0,0,68923.05094,0,0,33107.5,0,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,landbasedwind_class4_moderate_70,0,0.8,0,1,1,MIDAT,4,0,0
MIDAT_landbasedwind_class4_moderate_70_5,2,0,0,0,0,0,1,0,1,1,0,0,0,78586,-1,-1,0,0,0,68923.05094,0,0,33107.5,0,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,landbasedwind_class4_moderate_70,0,0.8,0,1,1,MIDAT,5,0,0
MIDAT_landbasedwind_class4_moderate_70_6,2,0,0,0,0,0,1,0,1,1,0,0,0,86257,-1,-1,0,0,0,68923.05094,0,0,33107.5,0,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,landbasedwind_class4_moderate_70,0,0.8,0,1,1,MIDAT,6,0,0
MIDAT_landbasedwind_class4_moderate_70_7,2,0,0,0,0,0,1,0,1,1,0,0,0,42063,-1,-1,0,0,0,68923.05094,0,0,33107.5,0,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,landbasedwind_class4_moderate_70,0,0.8,0.8,1,1,MIDAT,7,0,0
NE_landbasedwind_class4_moderate_70_1,3,0,0,0,0,0,1,0,1,1,0,0,0,6841,-1,-1,0,0,0,81445.66234,0,0,33107.5,0,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,landbasedwind_class4_moderate_70,0,0,0.8,1,1,NE,1,0,0
NE_landbasedwind_class4_moderate_70_2,3,0,0,0,0,0,1,0,1,1,0,0,0,10960,-1,-1,0,0,0,81445.66234,0,0,33107.5,0,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,landbasedwind_class4_moderate_70,0,0,0.8,1,1,NE,2,0,0
NE_landbasedwind_class4_moderate_70_3,3,0,0,0,0,0,1,0,1,1,0,0,0,65324,-1,-1,0,0,0,81445.66234,0,0,33107.5,0,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,landbasedwind_class4_moderate_70,0,0,0.8,1,1,NE,3,0,0
NE_landbasedwind_class4_moderate_70_4,3,0,0,0,0,0,1,0,1,1,0,0,0,17702,-1,-1,0,0,0,81445.66234,0,0,33107.5,0,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,landbasedwind_class4_moderate_71,0,0,0.8,1,1,NE,4,0,0
NE_landbasedwind_class4_moderate_70_5,3,0,0,0,0,0,1,0,1,1,0,0,0,90535,-1,-1,0,0,0,81445.66234,0,0,33107.5,0,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,landbasedwind_class4_moderate_72,0,0,0.8,1,1,NE,5,0,0
NE_landbasedwind_class4_moderate_70_6,3,0,0,0,0,0,1,0,1,1,0,0,0,1111,-1,-1,0,0,0,81445.66234,0,0,33107.5,0,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,landbasedwind_class4_moderate_73,0,0,0.8,1,1,NE,6,0,0
NE_landbasedwind_class4_moderate_70_7,3,0,0,0,0,0,1,0,1,1,0,0,0,13217,-1,-1,0,0,0,81445.66234,0,0,33107.5,0,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,landbasedwind_class4_moderate_74,0,0,0,1,1,NE,7,0,0
